"Date","SINTEX.NS.Open","SINTEX.NS.High","SINTEX.NS.Low","SINTEX.NS.Close","SINTEX.NS.Volume","SINTEX.NS.Adjusted"
2007-04-02,100.697998,101.607002,97.528999,98.315102,29648,87.984863
2007-04-03,98.708199,100.084,97.799202,98.265999,56453,87.940926
2007-04-04,100.674004,103.179001,98.290604,102.613998,87475,91.832069
2007-04-05,101.705002,101.705002,99.248703,100.108002,8766,89.589371
2007-04-09,100.108002,103.154999,99.813698,100.697998,97828,90.117386
2007-04-10,102.196999,102.196999,97.774696,98.413399,90153,88.072838
2007-04-11,99.715401,105.045998,98.315102,103.056,299021,92.227615
2007-04-12,100.968002,102.442001,100.231003,101.975998,126915,91.261101
2007-04-13,102.688004,103.425003,101.336998,102.049004,158948,91.326439
2007-04-16,105.636002,105.636002,101.950996,104.014999,193455,93.085861
2007-04-17,102.688004,110.549004,102.688004,109.197998,247023,97.724281
2007-04-18,110.549004,110.549004,102.490997,104.064003,101303,93.129715
2007-04-19,101.804001,104.162003,101.705002,103.129997,117261,92.293854
2007-04-20,103.768997,105.636002,102.221001,103.056,119001,92.227615
2007-04-23,102.688004,103.425003,102.196999,102.515999,115757,91.744377
2007-04-24,103.179001,103.400002,101.705002,102,664224,91.282593
2007-04-25,103.081001,103.129997,100.723,102.294998,198815,91.546577
2007-04-26,103.670998,104.039001,100.231003,100.674004,330513,90.095901
2007-04-27,100.231003,101.655998,97.774696,98.487099,53799,88.138786
2007-04-30,101.434998,102.123001,98.757301,100.157997,204813,89.634132
2007-05-03,100.157997,103.621002,98.757301,99.150398,114349,88.732399
2007-05-04,102.073997,102.073997,97.553596,97.799202,332797,87.523178
2007-05-07,101.411003,101.434998,98.265999,99.027603,184513,88.622513
2007-05-08,97.774696,98.094002,95.883003,96.767403,228341,86.599808
2007-05-09,97.283302,97.283302,95.072304,95.637398,203564,85.588516
2007-05-10,98.192299,100.452003,96.300697,98.364304,81489,88.028908
2007-05-11,96.841103,99.248703,96.792,97.111397,21710,86.907639
2007-05-14,98.265999,100.231003,97.332497,99.911903,89307,89.413902
2007-05-15,98.339699,103.081001,98.339699,102.442001,84957,91.678139
2007-05-16,100.723,104.039001,100.723,103.425003,71406,92.557854
2007-05-17,103.179001,109.001999,102.221001,107.773003,280351,96.449005
2007-05-18,105.242996,108.584,105.168999,106.348,130792,95.173737
2007-05-21,107.110001,107.600998,101.778999,106.889,68534,95.657875
2007-05-22,107.110001,107.110001,98.265999,106.544998,40494,95.350021
2007-05-23,107.600998,107.600998,103.670998,104.162003,16315,93.21743
2007-05-24,104.997002,106.102997,102.417999,103.350998,109474,92.491623
2007-05-25,103.154999,103.670998,101.459999,102.467003,230849,91.700516
2007-05-28,103.179001,103.916,102.467003,103.375999,77616,92.514008
2007-05-29,104.162003,108.068001,100.723,105.636002,182698,94.536537
2007-05-30,105.144997,110.549004,102.688004,106.889,187819,95.657875
2007-05-31,107.281998,121.776001,107.281998,111.163002,2255445,99.482803
2007-06-01,112.514999,116.936996,110.549004,111.065002,801848,99.395111
2007-06-04,112.957001,116.936996,110.132004,110.769997,508544,99.131096
2007-06-05,110.769997,115.954002,110.549004,114.971001,243753,102.890709
2007-06-06,114.971001,119.392998,112.047997,113.202003,618609,101.307571
2007-06-07,111.065002,113.988998,111.065002,113.644997,201429,101.704002
2007-06-08,112.858002,117.918999,110.155998,113.473,1446885,101.550087
2007-06-11,113.742996,119.344002,113.276001,117.157997,647540,104.847908
2007-06-12,117.918999,122.586998,116.912003,119.737,533533,107.155914
2007-06-13,118.386002,119.639,116.494003,118.411003,903615,106.825729
2007-06-14,119.392998,120.327003,115.708,118.042,716358,106.492828
2007-06-15,117.918999,118.139999,111.041,112.071999,432306,101.106934
2007-06-18,117.428001,117.428001,109.639999,111.556,297527,100.641411
