"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2013-10-09,79.804,81.002,79.447,42.5,3606642,22.485497
2013-10-10,80.33,81.254,79.594,42.355598,2457680,22.4091
2013-10-11,80.413,80.666,79.133,42.200001,1825155,22.326775
2013-10-14,79.804,80.897,79.447,42.155602,2287206,22.303284
2013-10-15,80.014,80.33,77.095,41.011101,5524722,21.697765
2013-10-17,77.704,78.817,77.452,41.277802,2621254,21.838869
2013-10-18,78.545,80.645,78.545,42.411098,6016550,22.438463
2013-10-21,80.771,81.359,79.511,42.422199,3432722,22.444332
2013-10-22,80.224,83.858,80.078,44.0667,7501140,23.31439
2013-10-23,84.11,85.013,82.178,44.3111,6134954,23.443697
2013-10-24,84.404,84.614,82.493,43.8111,4414370,23.179159
2013-10-25,82.346,82.997,80.014,42.533298,4011620,22.503115
2013-10-28,80.645,81.695,80.014,42.455601,2800066,22.462004
2013-10-29,80.813,83.627,80.582,43.911098,6684682,23.232067
2013-10-30,83.144,85.265,82.283,44.599998,5115465,23.596542
2013-10-31,85.034,85.223,83.795,44.7444,5530059,23.672941
2013-11-01,84.572,86.903,84.173,45.777802,6898617,24.219681
2013-11-05,89.696,94.4,87.848,49.577801,9472293,26.23015
2013-11-06,94.484,97.025,93.497,50.677799,12650836,26.812126
2013-11-07,95.66,96.185,89.885,47.9333,6010394,25.360096
2013-11-08,90.095,93.581,89.885,48.644402,3689721,25.736317
2013-11-11,90.767,91.061,88.205,46.844398,2146226,24.783989
2013-11-12,88.205,91.859,87.659,46.9333,8394273,24.831022
2013-11-13,87.386,89.171,86.861,46.844398,4076500,24.783989
2013-11-14,89.465,90.641,87.869,46.655602,6240496,24.684101
2013-11-18,90.242,90.242,87.365,47.011101,5469080,24.872183
2013-11-19,89.213,91.523,88.478,47.677799,4405946,25.224913
2013-11-20,90.284,92.027,88.205,47.033298,6428160,24.883926
