"Date","TATAMTRDVR.NS.Open","TATAMTRDVR.NS.High","TATAMTRDVR.NS.Low","TATAMTRDVR.NS.Close","TATAMTRDVR.NS.Volume","TATAMTRDVR.NS.Adjusted"
2009-11-13,135.689,137.916,134.531,93.889999,325995,64.90506
2009-11-16,137.974,140.318,135.978,96.110001,6678345,66.439728
2009-11-17,139.45,140.593,135.211,95.440002,455115,65.976563
2009-11-18,137.425,143.211,135.992,98.419998,4656285,68.036606
2009-11-19,144.571,147.464,139.16,96.889999,1374115,66.978935
2009-11-20,139.768,143.732,138.307,98.690002,1066610,68.223251
2009-11-23,143.196,144.368,141.186,98.57,230795,68.140305
2009-11-24,144.079,146.929,142.169,99.019997,848380,68.451378
2009-11-25,144.325,145.207,140.795,97.980003,169820,67.732437
2009-11-26,141.851,141.851,134.792,95.82,387115,66.23925
2009-11-27,133.663,139.971,133.663,95.690002,230150,66.149391
2009-11-30,140.896,145.54,140.896,98.889999,1044960,68.361511
2009-12-01,143.283,147.261,143.283,101.449997,2481720,70.13121
2009-12-02,147.464,151.167,147.464,102.709999,1338120,71.002228
2009-12-03,149.576,150.125,143.862,100.129997,480385,69.218697
2009-12-04,140.318,146.972,140.318,98.940002,434955,68.39608
2009-12-07,146.972,146.972,139.754,97.169998,218720,67.172493
2009-12-08,144.368,145.525,140.752,99.870003,590235,69.038971
2009-12-09,144.585,144.947,140.925,98.93,571305,68.38916
2009-12-10,142.054,144.657,142.054,99.129997,180935,68.527412
2009-12-11,145.207,145.525,141.837,98.540001,237565,68.11956
2009-12-14,144.339,144.339,141.923,98.400002,173430,68.022774
2009-12-15,143.703,143.703,134.994,94.480003,490805,65.312935
2009-12-16,139.45,140.202,135.978,95.550003,298145,66.052605
2009-12-17,143.789,143.789,136.238,94.980003,259585,65.658577
2009-12-18,137.425,140.752,136.918,95.57,976125,66.066429
2009-12-21,140.867,141.764,136.73,95.150002,398720,65.776085
2009-12-22,138.929,139.725,137.714,96.160004,66290,66.474297
2009-12-23,139.45,142.994,139.016,98.040001,639300,67.773918
2009-12-24,142.632,145.236,142.126,99.599998,972755,68.852325
2009-12-29,144.079,147.261,140.607,97.989998,924645,67.739349
2009-12-30,143.211,144.657,142.647,99.919998,1087895,69.073532
2009-12-31,144.542,145.222,142.126,99.139999,432250,68.534332
2010-01-04,146.104,146.639,144.657,101.059998,2977205,69.861603
2010-01-05,148.042,148.925,144.657,100.830002,1674715,69.702614
2010-01-06,147.551,151.861,145.67,102.269997,2693180,70.698067
2010-01-07,148.708,148.997,143.5,99.720001,417040,68.935272
2010-01-08,145.815,146.321,143.211,99.25,352760,68.610374
2010-01-11,143.789,146.032,143.211,99.919998,400140,69.073532
2010-01-12,146.104,146.104,143.24,99.360001,192775,68.686401
2010-01-13,142.632,146.032,140.607,99.379997,418805,68.700233
2010-01-14,144.657,145.178,142.068,99.050003,164420,68.472122
2010-01-15,142.531,145.236,142.126,99.650002,369305,68.886887
2010-01-18,144.657,145.742,143.211,99.730003,349210,68.942192
2010-01-19,144.223,145.815,142.372,99.279999,105760,68.631111
2010-01-20,143.211,143.5,141.822,98.93,30165,68.38916
2010-01-21,141.735,142.314,136.557,94.720001,74765,65.478836
2010-01-22,133.88,137.425,133.085,93.699997,696100,64.773727
2010-01-25,134.531,137.714,133.953,93.480003,125145,64.621643
2010-01-27,132.723,132.796,121.585,86.269997,595745,59.637447
2010-01-28,129.57,131.06,120.355,84.760002,131915,58.593609
2010-01-29,118.619,124.405,117.751,83.010002,343200,57.383854
2010-02-01,124.405,124.405,118.619,84.07,125970,58.116623
2010-02-02,123.248,125.273,120.066,83.650002,251555,57.826271
2010-02-03,124.405,124.405,120.08,83.889999,466060,57.992184
2010-02-04,121.512,121.512,112.833,78.82,140655,54.48735
2010-02-05,112.833,113.411,107.046,75.870003,713020,52.448055
2010-02-08,111.386,114.858,108.204,78.580002,642685,54.321434
2010-02-09,114.106,116.594,111.965,79,1100780,54.611782
2010-02-10,113.252,118.619,111.965,77.919998,410495,53.865192
2010-02-11,113.759,116.015,113.759,79.739998,701265,55.123337
2010-02-15,118.04,119.704,114.438,79.629997,118415,55.047295
2010-02-16,116.305,119.993,115.697,82.160004,122965,56.796257
2010-02-17,117.201,122.076,117.173,82.519997,369350,57.04512
2010-02-18,120.355,121.802,117.751,82.190002,177625,56.816994
2010-02-19,118.04,119.198,113.44,80.43,89085,55.600323
2010-02-22,116.015,119.69,115.755,80.75,434520,55.821541
2010-02-23,119.776,119.776,116.232,81.050003,391720,56.028919
2010-02-24,116.999,132.853,112.543,78.220001,623570,54.072578
2010-02-25,114.858,114.858,110.099,78.190002,387240,54.051842
2010-02-26,115.437,121.368,110.547,82.230003,468600,56.844646
2010-03-02,127.009,141.735,127.009,96.910004,1116000,66.99276
2010-03-03,140.318,143.92,136.412,95.989998,1094210,66.356781
2010-03-04,139.16,143.5,137.714,96.239998,571155,66.529602
2010-03-05,140.318,140.318,136.557,94.769997,1362000,65.513405
2010-03-08,140.896,140.896,136.007,95.040001,235650,65.700043
2010-03-09,135.11,135.11,130.626,91.620003,285510,63.335846
2010-03-10,135.37,137.425,133.519,92.970001,179785,64.269081
2010-03-11,133.837,135.689,133.215,93,1207785,64.28981
2010-03-12,136.267,136.267,132.535,91.860001,10850,63.501755
