"Date","RBLBANK.NS.Open","RBLBANK.NS.High","RBLBANK.NS.Low","RBLBANK.NS.Close","RBLBANK.NS.Volume","RBLBANK.NS.Adjusted"
2016-10-20,322,335,316.700012,328.049988,14969063,326.932251
2016-10-21,328,332,322.5,328.549988,2572236,327.430573
2016-10-24,329.299988,334.899994,324.399994,333.600006,2301063,332.463379
2016-10-25,334,346,332.200012,344.5,2684845,343.326233
2016-10-26,345.799988,357,341.399994,353.450012,2416491,352.245758
2016-10-27,353.350006,367,343.649994,361.149994,2552663,359.919495
2016-10-28,364.799988,376,364.75,374.649994,3822219,373.373505
2016-11-01,396.200012,404.399994,393.200012,395.799988,4793590,394.451416
2016-11-02,390,390,381,382.049988,2677682,380.74826
2016-11-03,383,389.299988,375.549988,378.950012,1872349,377.658875
2016-11-04,381.350006,381.350006,353,365.950012,4093138,364.703156
2016-11-07,374,387,372.200012,383.200012,2143425,381.894379
2016-11-08,388,392,376.649994,385.950012,1945916,384.63501
2016-11-09,335,385.700012,330,376.950012,7489091,375.66568
2016-11-10,386.25,392,376.600006,380.899994,3426477,379.602203
2016-11-11,379.149994,389,377,379.25,2213653,377.957825
2016-11-15,377,384,360.649994,363.649994,2301339,362.41098
2016-11-16,374.899994,374.899994,352,354.049988,2884543,352.843689
2016-11-17,357.950012,359.5,338,341.700012,2473956,340.535767
2016-11-18,342.100006,348,338,338.950012,1969726,337.795135
2016-11-21,343,345,330.399994,333.600006,1668922,332.463379
2016-11-22,336.450012,345.950012,332.100006,344.200012,1410662,343.027252
2016-11-23,347.700012,347.75,338.100006,340.700012,1324444,339.539185
2016-11-24,338,343.5,333.450012,337.600006,1137889,336.449738
2016-11-25,341.299988,352.5,341.100006,351.100006,2139191,349.903748
2016-11-28,343,356.700012,341.600006,353.200012,1775757,351.996582
2016-11-29,352.049988,363,352.049988,359.649994,1515335,358.424591
2016-11-30,362,365.399994,359,363.75,2231594,362.510651
2016-12-01,367,367,350.299988,352.350006,1136639,351.149475
2016-12-02,348.600006,352.399994,343.600006,346.700012,1280824,345.518738
2016-12-05,346.700012,351.899994,346,350.399994,775558,349.206116
2016-12-06,350.549988,354,345.25,347.75,668599,346.565155
2016-12-07,350.399994,356.75,340,345,1530231,343.824524
2016-12-08,345.899994,355,345.899994,354.100006,1075910,352.893524
2016-12-09,355.75,355.899994,349.5,351.549988,639742,350.352203
2016-12-12,351.399994,351.600006,346.299988,348.950012,451324,347.761078
2016-12-13,349.600006,350.549988,343,344.5,498168,343.326233
2016-12-14,346,346.5,339.049988,340.25,494081,339.090698
2016-12-15,337,359.25,336.100006,355.700012,2148784,354.488068
2016-12-16,357.899994,359.600006,351.5,352.350006,876002,351.149475
2016-12-19,352.399994,352.399994,345.200012,346.350006,496713,345.169922
2016-12-20,346.700012,350.100006,343,344.950012,808548,343.774719
2016-12-21,346.5,347.399994,342.100006,344.200012,981199,343.027252
2016-12-22,344,346,339.200012,340.200012,1389189,339.040894
2016-12-23,340,342.299988,335.850006,336.600006,687689,335.453156
2016-12-26,337.799988,337.799988,330.100006,330.799988,760436,329.672882
2016-12-27,333.950012,334.399994,327.600006,330.299988,975916,329.174591
2016-12-28,331.5,334,325.100006,327.899994,1582481,326.782776
2016-12-29,331.25,334.899994,327.5,331.649994,987942,330.519989
2016-12-30,332.600006,336.899994,332,335.100006,761290,333.958252
2017-01-02,338.700012,338.899994,333.200012,335.799988,451008,334.655853
2017-01-03,334.5,344.799988,334.5,341.299988,1270559,340.137115
2017-01-04,344.399994,349.600006,342.149994,345.549988,831454,344.37265
2017-01-05,348,355,346.100006,353.950012,955270,352.744049
