"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2014-09-19,27.137,27.283,26.653,24.983801,2292275,23.334679
2014-09-22,26.846,27.186,26.653,25.3459,2277836,23.672876
2014-09-23,27.04,27.234,26.556,24.938601,2268812,23.292461
2014-09-24,26.459,26.992,26.41,24.893299,1986009,23.250149
2014-09-25,26.653,26.895,25.683,24.0786,2093550,22.489227
2014-09-26,25.538,25.829,24.957,23.8071,2789003,22.235651
2014-09-29,25.49,25.732,25.102,23.4902,1811842,21.939667
2014-09-30,25.247,25.441,25.053,23.5355,1841846,21.981977
2014-10-01,25.296,25.344,24.617,23.082899,2504207,21.559252
2014-10-07,24.666,24.908,23.842,22.3587,2830312,20.882854
2014-10-08,23.745,24.133,23.503,22.041901,2967297,20.586966
2014-10-09,23.745,25.15,23.745,23.354401,3568738,21.812832
2014-10-10,24.811,25.102,24.327,22.8113,1945908,21.30558
2014-10-13,24.133,24.908,24.036,23.082899,1332213,21.559252
2014-10-14,24.763,25.78,24.763,23.761801,2397366,22.19334
2014-10-15,25.441,25.441,25.441,23.761801,0,22.19334
2014-10-16,25.199,25.829,24.811,23.354401,2272598,21.812832
2014-10-17,25.005,25.587,24.957,23.671301,1456950,22.108814
2014-10-20,25.683,25.974,25.15,23.8071,1571158,22.235651
2014-10-21,25.441,25.974,24.327,22.9018,4910580,21.390104
2014-10-22,24.763,24.811,24.569,22.992399,1641464,21.474724
2014-10-27,25.296,25.974,25.199,24.123899,2754117,22.531536
2014-10-28,25.877,26.653,25.829,24.7575,3313430,23.123314
2014-10-29,26.604,27.089,26.604,25.0291,2234310,23.376987
2014-10-30,26.749,26.846,26.265,24.7575,1407662,23.123314
2014-10-31,26.846,27.089,26.749,25.1196,2020668,23.461515
2014-11-03,27.186,27.428,26.846,25.391199,2410716,23.715185
2014-11-05,27.379,27.767,27.04,25.572201,2958500,23.884239
