"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2007-11-19,172.229996,181.108002,170.875,177.985992,568727,112.707413
2007-11-20,177.345993,179.378006,169.445999,171.514999,113774,108.609711
2007-11-21,176.067001,176.067001,157.257004,160.755005,246683,101.796097
2007-11-22,162.524002,163.276001,154.360001,157.520004,117975,99.747566
2007-11-23,160.229004,162.524002,158.498001,159.776993,60805,101.176773
2007-11-26,164.028,164.028,161.432999,162.712006,43460,103.035316
2007-11-27,160.304001,163.162994,159.815002,162.636002,48319,102.987198
2007-11-28,164.028,164.781006,158.084,159.589005,106633,101.057755
2007-11-29,163.126007,164.028,146.947998,151.990005,899045,96.245773
2007-11-30,154.998993,160.304001,151.990005,157.820999,201869,99.938187
2007-12-03,163.126007,163.126007,158.798996,160.341995,130531,101.534554
2007-12-04,159.514008,161.770996,157.669998,158.649002,123228,100.462502
2007-12-05,159.514008,169.294998,158.761002,168.016006,319369,106.394012
2007-12-06,167.791,171.100998,164.028,165.947006,174677,105.08387
2007-12-07,167.791,167.791,161.018997,161.996994,67237,102.582565
2007-12-10,160.266006,167.076004,160.266006,166.098007,157568,105.179459
2007-12-11,165.533005,175.766006,164.404999,170.686996,584702,108.085403
2007-12-12,169.182999,171.401993,166.662003,170.386002,268636,107.894806
2007-12-13,172.832001,177.496994,171.552994,173.509003,436412,109.872398
2007-12-14,176.744003,176.744003,167.414001,168.994003,759560,107.013344
2007-12-17,170.800003,171.401993,158.009003,159.964996,329075,101.295822
2007-12-18,161.093994,163.087997,158.009003,160.229004,143484,101.462997
2007-12-19,167.037994,167.037994,154.246994,156.089996,269928,98.842018
2007-12-20,157.257004,160.567001,155.149994,156.503998,556693,99.104195
2007-12-24,160.190994,160.567001,157.332001,158.912003,387185,100.629044
2007-12-26,164.705994,188.106003,159.514008,163.651993,182775,103.630585
2007-12-27,163.201004,180.582001,158.798996,160.718002,257185,101.772659
2007-12-28,162.373001,165.533005,160.266006,165.082001,146545,104.53611
2007-12-31,168.542999,168.542999,165.533005,167.151001,154489,105.846283
