"Date","HBSTOCK.NS.Open","HBSTOCK.NS.High","HBSTOCK.NS.Low","HBSTOCK.NS.Close","HBSTOCK.NS.Volume","HBSTOCK.NS.Adjusted"
2008-04-22,56.75,56.799999,54,55.400002,12215,49.832165
2008-04-23,55.099998,56,53.099998,55.099998,5633,49.562313
2008-04-24,56,57.900002,55.349998,57.400002,9098,51.631157
2008-04-25,59.400002,60.299999,59,60.299999,10609,54.2397
2008-04-28,61.099998,63.349998,61.099998,63.349998,4127,56.983166
2008-04-29,66.550003,66.550003,62.049999,62.849998,7346,56.533417
2008-04-30,64,65.300003,60.549999,61.049999,4379,54.914322
2008-05-02,61.049999,62,58,58.450001,10698,52.57563
2008-05-05,58.400002,60.5,55.549999,55.849998,26969,50.236935
2008-05-06,54.299999,56.900002,54.200001,54.849998,4625,49.337437
2008-05-07,55,56.349998,54,55.349998,5248,49.787186
2008-05-08,53.599998,54.950001,53.049999,53.599998,1665,48.213066
2008-05-09,55,55,52.5,52.75,4591,47.448494
2008-05-12,50.150002,51.700001,50.150002,51,2062,45.874374
2008-05-13,53.5,53.549999,52.599998,53.5,9884,48.123116
2008-05-14,56.200001,56.200001,52.200001,53.200001,10016,47.853268
2008-05-15,53,55,53,53.349998,6199,47.98819
2008-05-16,53,54.75,52.099998,54.599998,3356,49.112564
2008-05-20,55.900002,57.299999,55.5,56.450001,14004,50.776634
2008-05-21,56.200001,59.299999,54.099998,59.049999,7193,53.115326
2008-05-22,60,61.799999,57,57.799999,4246,51.990955
2008-05-23,59,59.299999,55,56,4249,50.371861
2008-05-26,53.200001,53.200001,53.200001,53.200001,159,47.853268
2008-05-27,50.549999,53,50.549999,50.549999,24422,45.469597
2008-05-28,48.049999,48.049999,48.049999,48.049999,740,43.220856
2008-05-29,45.900002,48,45.700001,45.799999,7085,41.196983
2008-05-30,45.049999,46.900002,45.049999,45.700001,1797,41.107037
2008-06-02,43.599998,45.5,43.450001,43.599998,5120,39.21809
2008-06-03,43.450001,44,42,42.799999,1863,38.498493
2008-06-04,43.849998,44,41.700001,41.700001,2400,37.509048
2008-06-05,40.099998,41.150002,39.650002,41,2898,36.879398
2008-06-06,39.700001,40.25,39.700001,40.25,1479,36.204773
2008-06-09,38.25,39,38.25,39,1411,35.080402
2008-06-10,37.049999,39.200001,37.049999,37.049999,4220,33.326382
2008-06-11,36.5,36.900002,35.5,36.5,2499,32.831657
2008-06-12,35.099998,38,35.099998,37.700001,1416,33.911057
2008-06-13,39.5,39.599998,37.599998,39.599998,784,35.620098
2008-06-16,39.049999,41.599998,39.049999,41.25,787,37.104271
2008-06-17,41.599998,41.950001,40.5,40.549999,1676,36.474625
2008-06-18,40.900002,42.299999,40.200001,40.5,2207,36.429649
2008-06-19,39,41.849998,38.900002,39,2744,35.080402
2008-06-20,39,39,37.099998,37.299999,2918,33.551258
2008-06-23,38,39.200001,35.450001,35.450001,1567,31.887188
2008-06-24,37,37,34,34.400002,1725,30.942717
2008-06-25,33.799999,35.599998,32.700001,34.650002,2264,31.167589
2008-06-26,34.650002,35.5,34.099998,34.25,1277,30.807789
2008-06-27,32.549999,33.799999,32.549999,33.700001,540,30.313066
2008-06-30,32.049999,32.049999,32.049999,32.049999,1395,28.828894
2008-07-01,30.450001,30.450001,30.450001,30.450001,200,27.3897
2008-07-02,28.950001,28.950001,28.950001,28.950001,616,26.040453
2008-07-03,27.5,27.5,27.5,27.5,7036,24.736181
2008-07-04,26.15,27,26.15,26.299999,4774,23.656784
2008-07-07,27.200001,27.450001,25.15,27.049999,1871,24.331408
2008-07-08,26.799999,28.200001,26,27.549999,1180,24.781157
2008-07-09,28.950001,28.950001,27.75,28.799999,1664,25.905527
2008-07-10,28,30.25,28,30.25,894,27.209799
2008-07-11,31.200001,31.65,29.25,30,1246,26.984924
2008-07-14,30,31.1,29,31,1402,27.884422
2008-07-15,29.799999,31.35,29.450001,29.450001,1333,26.490202
2008-07-16,28.1,28.1,28,28,721,25.18593
2008-07-17,28,28.4,26.6,26.6,1324,23.926634
2008-07-18,25.299999,27.950001,25.299999,27.950001,3491,25.140957
2008-07-21,28.049999,29.35,27,29.35,4099,26.400251
2008-07-22,30,30.85,29.549999,30.85,1144,27.749498
2008-07-23,32.400002,32.400002,32.400002,32.400002,992,29.143721
2008-07-24,34.049999,34.049999,31.65,31.75,3432,28.559046
2008-07-25,30.200001,31,30.200001,30.200001,3518,27.164825
2008-07-28,28.799999,30.4,28.700001,29.700001,6278,26.715076
2008-07-29,29.549999,30,28.65,29.200001,3068,26.265327
2008-07-30,28.5,30,28.5,29.700001,6148,26.715076
2008-07-31,28.6,29.200001,28.6,28.85,900,25.950504
2008-08-01,29.799999,30.049999,27.700001,29,3028,26.085428
2008-08-04,28.5,29.799999,28.15,29.4,3020,26.445227
2008-08-05,30,30.6,29.5,30.200001,3207,27.164825
2008-08-06,30,30.4,28.700001,28.950001,16523,26.040453
2008-08-07,28,29,27.5,27.65,5045,24.871105
2008-08-08,28,28,27.299999,27.799999,1000,25.006029
2008-08-11,27.5,29,27.5,27.9,4129,25.09598
2008-08-12,28.85,29.15,27.1,28.049999,5590,25.230904
2008-08-13,28.25,28.799999,27.049999,27.700001,3234,24.916082
2008-08-14,27.25,27.799999,27.049999,27.25,7164,24.511307
2008-08-18,26.1,28.299999,26.1,27.1,429,24.376383
2008-08-19,26.5,26.700001,25.799999,26.049999,3170,23.43191
2008-08-20,25.75,27.200001,25.75,26.799999,2348,24.106533
2008-08-21,26.1,26.6,25.549999,26.1,2902,23.476885
2008-08-22,25.200001,26.5,24.799999,25.9,2190,23.296986
2008-08-25,27.200001,27.200001,25.200001,25.9,2485,23.296986
2008-08-26,25.299999,26.35,25.299999,25.4,1194,22.847237
2008-08-27,25.25,25.950001,24.15,24.5,10770,22.037689
2008-08-28,24.049999,25.4,24.049999,24.799999,1460,22.307537
2008-08-29,24.549999,25.450001,24.549999,24.85,1820,22.352514
2008-09-01,24.15,25.200001,24.15,25,792,22.487438
2008-09-02,25.1,26.25,25.1,26.25,2260,23.611809
2008-09-04,27.4,27.4,25.549999,27.049999,1324,24.331408
2008-09-05,26.049999,28,26.049999,27.200001,1923,24.466333
2008-09-08,24.6,28.799999,24.6,27.9,3867,25.09598
2008-09-09,27,27.5,26.25,27.200001,709,24.466333
2008-09-10,27,28,25.75,26.799999,754,24.106533
2008-09-11,24.15,27.65,24.15,25.85,2582,23.25201
2008-09-12,24.299999,26.1,24.299999,25.200001,2323,22.667337
2008-09-15,23,24,22.75,23.15,4930,20.823366
2008-09-16,22.15,24,21.200001,23.9,3064,21.49799
2008-09-17,22.1,25,22.1,23.35,852,21.003267
2008-09-18,22,23,21.65,22.200001,3461,19.968845
2008-09-19,21.549999,23.450001,21.549999,22.1,1132,19.878895
2008-09-22,21.299999,23.299999,21.299999,23.299999,731,20.958292
2008-09-23,22,23.799999,21.6,22,844,19.788944
2008-09-24,21.450001,23,21.450001,21.799999,1850,19.609045
2008-09-25,22,23,21.25,21.75,556,19.564072
2008-09-26,21.25,23.450001,20.65,20.950001,3569,18.844473
2008-09-29,21.299999,21.950001,18.9,19.549999,8549,17.585176
2008-09-30,18.799999,18.85,17.6,18.35,4697,16.505779
2008-10-01,17.200001,19.200001,17.200001,18.5,1590,16.640703
2008-10-03,18,19.950001,17.700001,17.85,1996,16.05603
2008-10-06,18,18,16.200001,16.700001,4499,15.021609
2008-10-07,16.299999,16.299999,15.5,15.5,2752,13.942211
2008-10-08,15,15,14,14.95,1269,13.447488
2008-10-10,14,15.85,13.5,13.55,3340,12.188191
2008-10-13,14.15,14.15,13.05,13.2,1926,11.873367
2008-10-14,13.55,13.9,13.55,13.9,304,12.503015
2008-10-15,13.55,14.25,13.55,14,1210,12.592965
2008-10-16,14.4,14.4,13.55,13.85,444,12.458041
2008-10-17,13.25,14.4,13.25,13.45,822,12.098241
2008-10-20,12.8,14,12.8,12.8,1966,11.513568
2008-10-21,12.7,12.7,12.2,12.45,2398,11.198744
2008-10-22,12,13,11.85,12,571,10.79397
2008-10-23,11.8,11.8,11.4,11.6,462,10.434172
