"Date","ITC.NS.Open","ITC.NS.High","ITC.NS.Low","ITC.NS.Close","ITC.NS.Volume","ITC.NS.Adjusted"
2010-02-10,101.645,102.185,100.565,81.300003,8559072,65.240791
2010-02-11,101.79,102.974,101.686,82.383301,6952629,66.110092
2010-02-15,103.223,103.846,101.811,83.116699,6487740,66.698631
2010-02-16,104.158,104.469,103.057,83.383301,6122928,66.912575
2010-02-17,104.054,104.968,103.618,83.916702,7889148,67.340607
2010-02-18,104.76,104.988,102.392,82.75,4007403,66.404373
2010-02-19,103.555,104.012,102.101,82.833298,6003729,66.471214
2010-02-22,103.742,104.158,102.226,82.533302,6519765,66.230476
2010-02-23,102.849,103.825,102.101,83.083298,7205160,66.671829
2010-02-24,103.161,104.033,102.517,82.550003,8543616,66.243874
2010-02-25,103.389,103.638,102.06,82.533302,14311632,66.230476
2010-02-26,103.223,104.843,95.04,77.416702,70062642,62.124565
2010-03-02,97.657,101.437,97.615,80.650002,29079219,64.719177
2010-03-03,100.731,102.288,99.007,81.233299,13051704,65.187256
2010-03-04,102.558,102.6,100.938,82.016701,12871173,65.815918
2010-03-05,102.6,102.6,100.938,81.583298,8292837,65.468124
2010-03-08,102.081,104.656,101.977,83.75,22483827,67.206841
2010-03-09,104.573,105.404,103.68,83.683296,9544842,67.153305
2010-03-10,104.988,106.027,103.991,84.75,11961912,68.009308
2010-03-11,105.508,107.128,104.511,85.216698,8748882,68.38382
2010-03-12,106.754,108.166,106.027,86.150002,16751451,69.132759
2010-03-15,107.315,108.706,107.315,86.449997,15357009,69.373505
2010-03-16,108.083,108.394,105.611,86.599998,7480236,69.493874
2010-03-17,107.917,109.828,107.439,87.616699,12137355,70.309738
2010-03-18,109.246,109.952,107.46,87.083298,6491703,69.881699
2010-03-19,108.208,109.35,107.647,87.099998,7726920,69.895103
2010-03-22,107.73,108.789,106.899,87.199997,8909040,69.975349
2010-03-23,108.208,109.122,106.421,86.983299,9991815,69.80146
2010-03-25,108.436,110.679,107.917,88.25,17237313,70.817947
2010-03-26,109.973,110.492,108.872,88.133301,8880840,70.724304
2010-03-29,109.828,112.569,108.935,89.733299,12653583,72.008247
2010-03-30,111.863,113.358,111.198,89.616699,7993809,71.914688
2010-03-31,112.071,112.071,108.665,87.683296,15054351,70.36319
2010-04-01,109.661,110.845,109.288,88,5660241,70.617325
2010-04-05,111.198,111.614,109.703,88.266701,7335420,70.83136
2010-04-06,109.994,111.157,109.288,88.75,9674910,71.219185
2010-04-07,110.222,112.154,109.454,89.816704,8730540,72.075172
2010-04-08,111.323,111.718,110.638,89.25,6258126,71.620407
2010-04-09,111.24,112.362,110.368,89.75,8402556,72.021652
2010-04-12,112.154,113.275,111.053,90.466698,7865253,72.596786
2010-04-13,113.649,113.691,111.365,89.533302,4827846,71.847755
2010-04-15,112.175,112.444,108.519,87.583298,11888379,70.282944
2010-04-16,108.041,112.091,108.041,89.699997,8866254,71.981522
2010-04-19,111.323,113.732,108.976,88.283302,7860243,70.844666
2010-04-20,110.7,110.783,108.415,87.733299,8330829,70.403313
2010-04-21,109.661,110.056,108.561,87.483299,5479608,70.202682
2010-04-22,108.623,111.053,108.208,88.083298,13173507,70.684181
2010-04-23,109.952,111.302,108.872,88.983299,4994151,71.406395
2010-04-26,110.492,112.528,110.118,89.133301,5372082,71.526772
2010-04-27,111.323,112.507,110.305,89.849998,5873439,72.101898
2010-04-28,110.949,113.151,110.43,89.983299,10551009,72.20887
2010-04-29,112.735,112.735,110.285,89.050003,10187193,71.459923
2010-04-30,111.323,111.614,110.077,88.616699,6860544,71.112206
2010-05-03,108.519,110.741,108.519,88.316704,7014309,70.871483
2010-05-04,108.914,110.492,108.415,87.433296,4731258,70.16256
