"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2012-04-04,1309.550049,1337.800049,1306.849976,1315.699951,543772,1264.925659
2012-04-09,1305,1321.400024,1275,1283.349976,420584,1233.824219
2012-04-10,1282,1295.199951,1260.650024,1275.800049,534399,1226.565796
2012-04-11,1263.150024,1285.099976,1262.050049,1272.449951,401175,1223.344727
2012-04-12,1279.699951,1315.699951,1276.300049,1312.400024,671623,1261.753174
2012-04-13,1315.25,1350,1312.400024,1322.75,943900,1271.703735
2012-04-16,1312.550049,1352.849976,1309.900024,1342.300049,526324,1290.49939
2012-04-17,1394.800049,1394.800049,1326.400024,1342.199951,583176,1290.403076
2012-04-18,1350,1366.699951,1345.050049,1352.5,642609,1300.305664
2012-04-19,1364.400024,1401.400024,1357.400024,1391.25,922582,1337.560181
2012-04-20,1392.25,1417.050049,1380,1390.699951,816656,1337.031494
2012-04-23,1391.099976,1408,1372.099976,1377.550049,518905,1324.389038
2012-04-24,1375,1376.599976,1349.75,1363.75,270412,1311.12146
2012-04-25,1362.099976,1389,1362.099976,1382.099976,593484,1328.763306
2012-04-26,1380,1399,1366.099976,1381.949951,762098,1328.619141
2012-04-27,1381.050049,1388.400024,1374.150024,1382.5,429216,1329.147949
2012-04-30,1399,1399,1358.25,1371.849976,956055,1318.908936
2012-05-02,1384.5,1384.5,1324,1332.900024,666676,1281.462036
2012-05-03,1329.800049,1329.800049,1284.099976,1290,662791,1240.217529
2012-05-04,1287.300049,1291.5,1260.949951,1281.300049,644798,1231.853394
2012-05-07,1264.949951,1329,1254,1310.849976,680698,1260.262817
2012-05-08,1324,1331.699951,1299.050049,1306,632978,1255.60022
2012-05-09,1292.25,1312,1285.550049,1301.25,330149,1251.033447
2012-05-10,1290.150024,1305.400024,1250.150024,1261.849976,415223,1213.153809
2012-05-11,1247.949951,1251.150024,1217.099976,1235.25,486137,1187.580322
2012-05-14,1235,1258,1231.849976,1249,491946,1200.799927
2012-05-15,1238,1239.900024,1205.099976,1217.300049,567302,1170.323242
2012-05-16,1202.25,1202.25,1167.349976,1192.099976,673604,1146.095825
2012-05-17,1200,1218,1188,1205.300049,599674,1158.786377
2012-05-18,1175.25,1193,1156,1166.650024,612497,1121.627686
2012-05-21,1173.25,1215.949951,1170.550049,1208.800049,413870,1162.151245
2012-05-22,1218.849976,1224.599976,1143.349976,1153.949951,950870,1109.417847
2012-05-23,1141,1163.900024,1116,1153.099976,782054,1108.600708
2012-05-24,1128.900024,1148.849976,1115.449951,1144.449951,955704,1100.284546
2012-05-25,1133,1150,1109,1119,921129,1075.81665
2012-05-28,1124.099976,1130,1098.199951,1103.550049,874095,1060.962769
2012-05-29,1111,1136.199951,1105,1128.349976,817104,1084.805786
2012-05-30,1112.050049,1157.349976,1110,1151.050049,1151146,1106.629883
2012-05-31,1129,1134.349976,1093.150024,1100.25,3301123,1057.790161
2012-06-01,1106.949951,1118.599976,1071,1074.849976,879733,1033.370361
2012-06-04,1069.699951,1078,1051,1067.5,548592,1026.304199
2012-06-05,1077.5,1089.900024,1058.300049,1079,605028,1037.360352
2012-06-06,1079.900024,1115.800049,1076.349976,1107.949951,925831,1065.192993
2012-06-07,1120,1146.400024,1110.599976,1143.25,984712,1099.130981
2012-06-08,1137,1137,1111.150024,1124.050049,456053,1080.671753
2012-06-11,1132,1143.400024,1102,1110.5,724281,1067.644775
2012-06-12,1104,1152.800049,1103.349976,1144.550049,534252,1100.380737
2012-06-13,1138,1144,1102.5,1107.75,1333440,1065.000854
2012-06-14,1110.150024,1125.300049,1073.150024,1080.099976,882665,1038.417847
2012-06-15,1094,1110,1077.300049,1106.800049,685861,1064.087402
2012-06-18,1115,1127.449951,1083.5,1091.800049,610175,1049.66626
2012-06-19,1090,1103.699951,1076.400024,1090.949951,430252,1048.849121
2012-06-20,1089,1092.550049,1073,1076.400024,616008,1034.860596
2012-06-21,1080,1094,1062.099976,1088.849976,844982,1046.830078
2012-06-22,1078,1113.300049,1074.5,1102.099976,904652,1059.568848
2012-06-25,1106.599976,1133.900024,1106.599976,1113.900024,910242,1070.91333
2012-06-26,1115,1120.949951,1105.050049,1113.199951,302263,1070.240479
2012-06-27,1121,1124,1109,1121.699951,532527,1078.412231
2012-06-28,1126.949951,1132,1110.349976,1120.849976,516495,1077.595215
2012-06-29,1140,1176,1140,1169.75,1346720,1124.608276
2012-07-02,1180,1204.800049,1155,1178.5,1141219,1133.020386
2012-07-03,1188,1201.199951,1185.449951,1191.650024,973813,1145.662842
2012-07-04,1197.25,1224.5,1197.25,1221.150024,1044761,1174.024414
2012-07-05,1215.550049,1250,1213.5,1240.300049,1278118,1192.435791
2012-07-06,1240.349976,1242,1211.5,1215.5,611047,1168.592651
2012-07-09,1212,1213,1183.75,1187.75,403988,1141.913574
2012-07-10,1193,1228.800049,1181,1220.550049,794615,1173.447632
2012-07-11,1214,1218,1200.050049,1203.400024,407383,1156.959595
2012-07-12,1199.800049,1216,1189.150024,1195.599976,559552,1149.460449
2012-07-13,1200.25,1207.900024,1175.650024,1183.949951,592804,1138.260132
2012-07-16,1190,1212.949951,1178.400024,1203.300049,599666,1156.863525
2012-07-17,1210.5,1215.75,1190.599976,1196.199951,273112,1150.037354
2012-07-18,1197.349976,1229,1186.800049,1226.599976,508727,1179.26416
2012-07-19,1175,1175,1110,1117.300049,8345304,1074.182373
2012-07-20,1095.25,1151.699951,1094.75,1147.5,4553438,1103.216919
2012-07-23,1106,1107,1074.300049,1079.949951,4040249,1038.273438
2012-07-24,1086,1119,1085.25,1106.900024,2373402,1064.183716
2012-07-25,1095,1107.800049,1085.949951,1102.949951,1202467,1060.385986
2012-07-26,1110,1125.599976,1098.599976,1108.550049,2109342,1065.769897
2012-07-27,1124.75,1124.949951,1106.050049,1112.949951,884839,1070.000122
2012-07-30,1085.099976,1124.5,1082.650024,1119.900024,1353345,1076.682007
2012-07-31,1115,1137.599976,1112.75,1134.849976,708501,1091.054932
2012-08-01,1134,1144,1118.5,1125.599976,704104,1082.161743
2012-08-02,1129.800049,1134,1116,1125.349976,429857,1081.921509
2012-08-03,1119.800049,1124.849976,1108.949951,1120.849976,297511,1077.595215
2012-08-06,1134,1141,1125,1137.650024,425446,1093.746948
