"Date","BANKINDIA.NS.Open","BANKINDIA.NS.High","BANKINDIA.NS.Low","BANKINDIA.NS.Close","BANKINDIA.NS.Volume","BANKINDIA.NS.Adjusted"
2014-12-08,299.75,301,290,291.299988,2947268,283.403534
2014-12-09,290.25,292.299988,280,281.350006,2739050,273.723297
2014-12-10,280.100006,296.25,279,294.25,3156738,286.27359
2014-12-11,293,299,285.700012,295.399994,4350600,287.392395
2014-12-12,297.5,298.25,283.100006,284.149994,3396032,276.447357
2014-12-15,282.600006,289.799988,281.100006,283.899994,2617303,276.204163
2014-12-16,281.5,286.600006,272,278.549988,5341848,270.999176
2014-12-17,277.100006,287.700012,271.450012,283.649994,3732104,275.960938
2014-12-18,289,293.799988,286.100006,291.350006,3556225,283.452209
2014-12-19,295,296.549988,285.5,287.149994,2816138,279.366058
2014-12-22,288.100006,292.5,284.100006,291.299988,2112876,283.403534
2014-12-23,291,295.399994,288,289.75,2472178,281.895569
2014-12-24,288.5,293.200012,285.950012,291.200012,3846108,283.306274
2014-12-26,291.200012,302,291.200012,301.5,5032634,293.327057
2014-12-29,304.450012,305.350006,298.600006,299.399994,2588007,291.283966
2014-12-30,300.899994,304,296.299988,302.350006,3530150,294.154022
2014-12-31,301.200012,305,300.5,301.799988,3019396,293.618927
2015-01-01,301.5,306,301,304.350006,1916939,296.099823
2015-01-02,304.350006,311.950012,304,307.75,5802477,299.407623
2015-01-05,309.899994,309.899994,304.799988,307,2744163,298.677979
2015-01-06,303.5,305.5,290.200012,291.600006,3124631,283.695435
2015-01-07,290,293.5,284.149994,288.100006,3067861,280.290314
2015-01-08,292,297,291.200012,296.100006,2243552,288.073456
2015-01-09,297.549988,298.799988,290.399994,293.450012,2604119,285.4953
2015-01-12,293.450012,300.600006,289.799988,298.899994,3605898,290.797546
2015-01-13,301.149994,301.5,291.799988,294.5,2533723,286.516815
2015-01-14,293.200012,296.5,288.100006,290.799988,1646465,282.917114
2015-01-15,303.350006,304.799988,298.049988,300.850006,3286107,292.694672
2015-01-16,300.600006,302.899994,297.149994,300.399994,2439163,292.256866
2015-01-19,303.5,304.5,297.600006,299,2136920,290.894836
2015-01-20,299.299988,303.799988,296,297.049988,3067676,288.997681
2015-01-21,299,306,298,302,5614490,293.813507
2015-01-22,303.399994,304.399994,296.75,298.700012,2341535,290.602966
2015-01-23,301.950012,304,292.25,294.299988,3224128,286.322235
2015-01-27,294.299988,296,286,291.549988,3126996,283.646759
2015-01-28,291.200012,294.5,288.049988,291.350006,2091362,283.452209
2015-01-29,290.600006,292.799988,280,280.799988,3162294,273.188171
2015-01-30,282.450012,285.299988,261.549988,266.25,5203097,259.032593
2015-02-02,267.25,276.049988,265.600006,273.799988,2668549,266.37793
2015-02-03,275.450012,276.899994,259.5,261.149994,4795568,254.070847
2015-02-04,262.950012,264.200012,256,257.049988,5006893,250.081985
2015-02-05,257.100006,260.799988,247.550003,249.449997,2722463,242.688004
2015-02-06,249.899994,251.850006,242.949997,247.199997,3320834,240.498993
2015-02-09,246.199997,248.5,231.100006,232.699997,4691597,226.392059
2015-02-10,232,243.350006,228.199997,236.449997,4802236,230.040405
2015-02-11,238.149994,243.699997,236.399994,241.300003,2741617,234.758942
2015-02-12,243,244.800003,225.100006,227.399994,12209501,221.235733
2015-02-13,226.5,236.600006,225.850006,235.5,5100439,229.116165
2015-02-16,237,239.949997,230,235.149994,4689806,228.77565
2015-02-18,235.149994,236.75,232.350006,234.050003,2347153,227.705475
2015-02-19,234.300003,236.25,228.600006,234,2634167,227.65683
2015-02-20,235,243.300003,232,238.649994,3471395,232.180771
2015-02-23,240.5,241.25,233.25,234.75,2281780,228.38649
2015-02-24,234.800003,235.100006,229.5,231.949997,2772609,225.662384
