"Date","M&M.NS.Open","M&M.NS.High","M&M.NS.Low","M&M.NS.Close","M&M.NS.Volume","M&M.NS.Adjusted"
2007-12-17,197.375,199.975006,187.425003,191.899994,4290800,134.362564
2007-12-18,194.5,195.25,189.261993,193.011993,2974152,135.141159
2007-12-19,197.25,205.25,191.011993,194.037994,6950876,135.859543
2007-12-20,195,201.988007,193.061996,196.136993,3512488,137.329208
2007-12-24,197.5,206.925003,197.5,206.037994,2884220,144.261581
2007-12-26,206.25,212.25,206.25,208.475006,2491148,145.967911
2007-12-27,210,211.225006,206.25,208.274994,2614404,145.827866
2007-12-28,205.75,210,205.75,208.938004,1212740,146.292084
2007-12-31,207.800003,217.375,207.800003,215.488007,2704932,150.878204
2008-01-01,215.725006,218.475006,212.75,216.274994,1176100,151.429214
2008-01-02,215.949997,217.375,211,214.074997,6340052,149.888855
2008-01-03,212.261993,214.975006,206.561996,207.988007,2633456,145.626923
2008-01-04,214.75,214.75,202.75,205.938004,3701764,144.191589
2008-01-07,203.75,208.725006,200.25,203.449997,2176008,142.449524
2008-01-08,197.636993,210.75,197.636993,207.511993,3698636,145.29364
2008-01-09,207.5,208.725006,201.5,202.212006,3010256,141.582748
2008-01-10,202.5,207.25,199.5,201.274994,3422240,140.926682
2008-01-11,201.25,202.287994,191.024994,193.761993,2675956,135.666306
2008-01-14,194.511993,196.636993,185,189.311996,2862236,132.550537
2008-01-15,189.311996,191.25,182.75,183.774994,3091884,128.673706
2008-01-16,183.75,188.899994,177.75,184.625,2875728,129.268875
2008-01-17,182.636993,191,182.636993,189.113007,1912596,132.411224
2008-01-18,189.113007,189.113007,180.011993,181.886993,1443032,127.351776
2008-01-21,180.261993,184.5,145.511993,166.800003,3209576,116.78833
2008-01-22,167.5,178.600006,131.25,152.475006,3742076,106.758392
2008-01-23,153,173.613007,151.261993,158.350006,5721192,110.871887
2008-01-24,160.5,166.25,150,156.5,3347296,109.576591
2008-01-25,160.5,170,157.5,168.274994,1783080,117.82106
2008-01-28,169.300003,174,155.75,172.375,1488304,120.69178
2008-01-29,167.5,178,166.25,175.386993,4054996,122.800674
2008-01-30,176.25,177.5,169.537994,172.774994,2817812,120.971817
2008-01-31,175,177.475006,162.561996,166.212006,4713396,116.376617
2008-02-01,172.5,173.5,161.5,167.75,1941880,117.453484
2008-02-04,170,175.25,169.975006,174.537994,2101076,122.206245
2008-02-05,174.5,174.738007,169,169.875,1960024,118.941353
2008-02-06,164.75,172.375,162.886993,165.988007,1156204,116.21981
2008-02-07,166.25,166.600006,162.5,164.75,1515184,115.352982
2008-02-08,157.837006,165,157.837006,161.5,635824,113.077431
