"Date","ONGC.NS.Open","ONGC.NS.High","ONGC.NS.Low","ONGC.NS.Close","ONGC.NS.Volume","ONGC.NS.Adjusted"
2015-07-20,195.332993,196.067001,193.667007,194.567001,1863026,171.568329
2015-07-21,194.533005,194.600006,186.800003,187.5,4128988,165.336685
2015-07-22,187.667007,191.966995,187.667007,189.899994,3767242,167.452988
2015-07-23,190,190.300003,186.367004,189.233002,5707322,166.864822
2015-07-24,189,190.600006,187.766998,188.567001,3961647,166.277542
2015-07-27,188,188.567001,180,181,10950876,159.604996
2015-07-28,181.399994,181.667007,175.632996,179.899994,8345236,158.635025
2015-07-29,180.667007,181.067001,176.667007,179.832993,10220164,158.575943
2015-07-30,181.932999,182.932999,180.067001,180.600006,5602353,159.252289
2015-07-31,181,184.332993,180.800003,181.800003,3895096,160.31044
2015-08-03,181.932999,185,178.699997,182.432999,4666620,160.868622
2015-08-04,182.5,182.5,176.466995,177.567001,7648746,156.577789
2015-08-05,179.332993,181.332993,178.600006,180,3759064,158.723221
2015-08-06,180.667007,182.332993,179.632996,180.632996,3982426,159.281372
2015-08-07,180,189.300003,179.699997,188.567001,14143718,166.277542
2015-08-10,189.332993,189.800003,182.667007,183.367004,4017831,161.692215
2015-08-11,184.432999,184.432999,179.367004,180.033005,2668082,158.752304
2015-08-12,180,181.667007,177.067001,179.567001,6082658,158.3414
2015-08-13,180.667007,182.667007,177.100006,179.832993,6835678,158.575943
2015-08-14,181.367004,182.332993,178.699997,180.266998,3797374,158.958618
2015-08-17,180.067001,180.100006,174.300003,176,7815285,155.196014
2015-08-18,177.332993,177.699997,173.332993,173.867004,4157310,153.31514
2015-08-19,173.332993,175.199997,171.399994,173.733002,5711535,153.196991
2015-08-20,172,172.466995,169.399994,170.533005,7178769,150.375244
2015-08-21,169.367004,171.600006,167.399994,170.632996,6613182,150.463409
2015-08-24,166.667007,167.199997,150.800003,151.800003,19008639,133.856567
2015-08-25,153.832993,156.966995,149.5,153.766998,10863165,135.591034
2015-08-26,154,157.733002,148.667007,149.899994,7245826,132.181152
2015-08-27,154.667007,155.600006,150.699997,153.533005,11633060,135.384705
2015-08-28,159.266998,164.266998,158.600006,162.432999,10958608,143.232697
2015-08-31,165.132996,165.600006,158.466995,159.533005,9689886,140.675507
2015-09-01,161.867004,162.233002,155.132996,156.067001,10033095,137.619186
2015-09-02,156.100006,157,149.567001,150.132996,9458158,132.386612
2015-09-03,152.5,154.533005,151,152.766998,3640380,134.709274
2015-09-04,155.100006,155.100006,147.5,150.367004,7345293,132.592957
2015-09-07,151.332993,152.233002,149.033005,150.699997,5324036,133.329941
2015-09-08,151.966995,153.667007,149.399994,153.266998,6841088,135.601059
2015-09-09,155.367004,155.733002,152.832993,153.600006,11075230,135.895691
2015-09-10,152.332993,153.233002,149.132996,151.266998,6478407,133.831573
2015-09-11,152.432999,154.600006,151.466995,152.233002,5834528,134.686249
2015-09-14,153.266998,153.600006,150.667007,153.100006,3143678,135.453323
2015-09-15,153.266998,154.600006,150.533005,152.832993,3661400,135.217087
2015-09-16,155.199997,155.199997,152.167007,153.667007,4234244,135.954971
2015-09-18,154.067001,160.800003,153.266998,159.466995,9682538,141.086456
2015-09-21,157.199997,159.899994,156.667007,159.300003,2754552,140.938705
2015-09-22,161.199997,161.199997,155.432999,156.332993,5576616,138.313675
2015-09-23,153.399994,158.632996,153.167007,157.699997,3247758,139.523117
2015-09-24,157.733002,157.733002,150.733002,151.667007,8968652,134.185516
2015-09-28,152.167007,152.300003,149.399994,150.067001,4326612,132.769897
2015-09-29,149.199997,151.600006,145.132996,150.932999,7599778,133.536102
2015-09-30,152.332993,153.867004,148.067001,152.899994,7694696,135.276367
2015-10-01,152.899994,156,152,154.899994,4161730,137.045853
2015-10-05,156,160.800003,152.667007,160.332993,5283105,141.852615
2015-10-06,160.667007,165.766998,159.733002,164.899994,7663977,145.893204
2015-10-07,167.332993,173.899994,167.332993,171.832993,9901197,152.027115
2015-10-08,173.600006,173.600006,168.167007,171.766998,5335414,151.968719
2015-10-09,174,176.667007,173.466995,175.766998,8515356,155.50766
2015-10-12,175.832993,178.5,174.867004,175.600006,4243084,155.359924
2015-10-13,173.033005,174.167007,168.167007,169.266998,4640856,149.756882
2015-10-14,169.332993,175.533005,168.932999,170,4440332,150.40538
2015-10-15,171.399994,174,169.399994,173.432999,3456408,153.442688
2015-10-16,174,176.867004,171.332993,176,3212586,155.713806
2015-10-19,176.067001,176.233002,170.667007,171.899994,2694020,152.08638
2015-10-20,170.399994,171.5,168,168.766998,3579358,149.314484
2015-10-21,168,171.932999,167.667007,168.966995,2408055,149.49147
2015-10-23,170,174,169.966995,171.533005,3416214,151.761703
2015-10-26,171.332993,173.867004,169.600006,170.966995,3776110,151.26091
2015-10-27,168.966995,169.466995,164.832993,165.266998,7387659,146.217926
2015-10-28,163.733002,168.332993,162.233002,167.867004,8681943,148.518234
2015-10-29,170,170.167007,166.699997,167.233002,11317210,147.957306
2015-10-30,166.600006,167,162.733002,164.632996,5076524,145.656982
2015-11-02,164.632996,165.867004,161.432999,164.932999,2028092,145.922409
2015-11-03,164.800003,167.667007,163.533005,167.132996,2764398,147.86882
2015-11-04,169.033005,169.466995,166.533005,168.067001,3672546,148.695175
2015-11-05,166.667007,169.199997,166.432999,167.100006,4845284,147.839645
2015-11-06,165.800003,171.067001,165.332993,167.632996,6014388,148.311203
2015-11-09,164.132996,167.332993,163.367004,166.199997,4072977,147.043365
2015-11-10,163.399994,165.199997,157.067001,157.800003,5841890,143.496872
2015-11-13,155.367004,155.667007,152,152.600006,6878205,138.768219
2015-11-16,152.266998,153.932999,147.5,153.432999,6538864,139.525696
2015-11-17,154,155.5,151.132996,154.899994,9435519,140.859711
2015-11-18,154.033005,155.167007,152.632996,153.800003,3862232,139.859451
