"Date","BOSCHLTD.NS.Open","BOSCHLTD.NS.High","BOSCHLTD.NS.Low","BOSCHLTD.NS.Close","BOSCHLTD.NS.Volume","BOSCHLTD.NS.Adjusted"
2007-05-18,4090.169,4106.064,4068.977,3847.199951,6156,3630.703613
2007-05-21,4081.692,4137.852,4081.692,3898.199951,17479,3678.83374
2007-05-22,4152.687,4152.687,4118.779,3898.449951,20884,3679.069824
2007-05-23,4137.799,4137.799,4111.361,3885.050049,17082,3666.424316
2007-05-24,4137.799,4593.493,4132.554,4261.100098,99587,4021.3125
2007-05-25,4577.598,4641.176,4461.039,4260.450195,33141,4020.699463
2007-05-28,4567.003,4725.947,4546.87,4409.75,37988,4161.59668
2007-05-29,4661.309,4767.537,4635.878,4453.25,39248,4202.649414
2007-05-30,4667.667,4916.68,4667.667,4558.75,25220,4302.211914
2007-05-31,4895.487,4915.62,4672.965,4441.700195,20061,4191.749512
2007-06-01,4837.472,4900.785,4747.139,4592.700195,51005,4334.251953
2007-06-04,4969.662,5043.783,4896.547,4711,31503,4445.894043
2007-06-05,4948.467,5012.045,4842.505,4610.549805,20009,4351.098145
2007-06-06,4874.294,4927.223,4567.002,4383.600098,17410,4136.918945
2007-06-07,4578.658,4715.35,4567.002,4397.049805,27729,4149.611816
2007-06-08,4651.772,4662.369,4418.654,4199.299805,15632,3962.989746
2007-06-11,4455.847,4662.368,4424.005,4255.850098,29360,4016.35791
2007-06-12,4545.809,4625.281,4515.08,4335.700195,10689,4091.714844
2007-06-13,4609.388,4800.121,4588.195,4480.200195,33524,4228.082031
2007-06-14,4842.506,5017.344,4810.717,4630.350098,37095,4369.783203
2007-06-15,4974.959,4974.959,4770.45,4533.799805,11468,4278.666504
2007-06-18,4853.103,4959.066,4784.227,4527.899902,5470,4273.097168
2007-06-19,4810.77,4927.276,4784.226,4621.75,13372,4361.666992
2007-06-20,4906.084,4927.276,4800.121,4548.649902,12090,4292.680176
2007-06-21,4900.573,5190.911,4831.909,4583.549805,32076,4325.616699
2007-06-22,4873.235,5112.711,4857.34,4779.899902,36328,4510.91748
2007-06-25,5059.729,5123.307,4778.927,4516.049805,28839,4261.915527
2007-06-26,4784.226,4980.258,4619.984,4686.600098,58991,4422.867676
2007-06-27,4768.331,4768.331,4556.405,4485.75,71969,4233.320801
2007-06-28,4959.065,4959.065,4757.735,4509.299805,32073,4255.544922
2007-06-29,4778.928,4789.524,4747.192,4482.700195,40697,4230.441895
2007-07-02,4783.167,4783.167,4747.139,4487.799805,26153,4235.254395
2007-07-03,4757.735,4770.451,4745.02,4489.299805,42764,4236.67041
2007-07-04,4768.279,4768.279,4737.867,4477.899902,33601,4225.912109
2007-07-05,4768.12,4784.226,4727.059,4509.149902,14468,4255.40332
2007-07-06,4751.377,4757.735,4561.703,4393.75,5797,4146.498047
2007-07-09,4652.833,4736.543,4610.448,4403.100098,3045,4155.320801
2007-07-10,4731.244,4731.244,4582.949,4365.5,2707,4119.837402
2007-07-11,4625.388,4662.369,4556.406,4357.950195,2632,4112.712402
2007-07-12,4594.552,4683.455,4570.181,4323.899902,3332,4080.578125
2007-07-13,4646.474,4652.832,4609.387,4363.350098,4842,4117.808105
2007-07-16,4610.448,4658.131,4556.406,4313.75,985,4070.998779
2007-07-17,4650.713,4650.713,4545.809,4291.200195,2452,4049.718506
2007-07-18,4609.386,4609.386,4535.212,4296.649902,1293,4054.862305
2007-07-19,4556.406,4598.792,4503.955,4292.200195,1545,4050.661621
2007-07-20,4582.896,4582.896,4503.424,4252.899902,1220,4013.57373
2007-07-23,4529.915,4529.915,4461.039,4229.950195,871,3991.915283
2007-07-24,4556.406,4556.406,4476.934,4288.149902,2095,4046.839844
2007-07-25,4476.933,4593.44,4476.933,4320.75,1587,4077.605713
2007-07-26,4556.405,4650.712,4540.511,4354.950195,2853,4109.881348
2007-07-27,4535.213,4598.791,4519.319,4308,4046,4065.572998
2007-07-30,4555.346,4683.561,4527.796,4352.100098,2570,4107.191406
2007-07-31,4619.984,4810.717,4556.406,4400.799805,29803,4153.150391
2007-08-01,4788.465,4788.465,4582.896,4349.149902,5677,4104.407227
2007-08-02,4588.194,4672.964,4582.896,4397.399902,2184,4149.942871
2007-08-03,4731.244,4731.244,4627.4,4382,1306,4135.40918
2007-08-06,4641.176,4659.189,4561.703,4377.149902,1365,4130.832031
2007-08-07,4612.037,4683.562,4612.037,4405.25,777,4157.350098
2007-08-08,4652.832,4693.628,4625.282,4385.649902,630,4138.853027
2007-08-09,4699.455,4747.138,4492.827,4249.5,3200,4010.365479
2007-08-10,4482.232,4545.81,4397.462,4196.399902,1156,3960.252686
2007-08-13,4413.355,4541.57,4410.229,4177.149902,962,3942.08667
2007-08-14,4451.608,4535.213,4399.686,4256.100098,3451,4016.594238
2007-08-16,4435.608,4502.364,4397.461,4202.700195,1602,3966.198975
2007-08-17,4397.462,4461.04,4344.533,4111.799805,1945,3880.41333
2007-08-20,5192.183,5197.482,4344.48,4114,1578,3882.48999
2007-08-21,4503.424,4514.021,4323.181,4098.649902,795,3868.003662
2007-08-22,4355.076,4355.076,4259.709,4057.100098,2349,3828.792236
2007-08-23,4449.383,4450.443,4027.651,3942.850098,3553,3720.971191
2007-08-24,4201.43,4312.691,4201.43,4002.75,978,3777.500732
2007-08-27,4198.993,4344.427,4198.993,4075.899902,48074,3846.533691
2007-08-28,4344.48,4376.269,4328.586,4094.600098,474,3864.181641
2007-08-29,4291.498,4450.39,4265.008,4050.5,1298,3822.563477
2007-08-30,4397.461,4397.461,4303.313,4070.949951,518,3841.862793
2007-08-31,4304.214,4360.374,4273.008,4092.100098,17256,3861.82251
2007-09-03,4439.847,4439.847,4308.453,4092.449951,702,3862.152588
2007-09-04,4397.461,4397.461,4333.884,4109.799805,15994,3878.526123
2007-09-05,4349.778,4388.984,4344.48,4100.25,1412,3869.513916
2007-09-06,4328.585,4360.374,4312.691,4100.950195,409,3870.174805
