"Date","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
2011-01-03,861,867.424988,856.924988,864.588013,2524272,592.05481
2011-01-04,864.25,874.75,864.25,870.362,4059644,596.008728
2011-01-05,866.25,869.25,861.275024,864.900024,1761580,592.268311
2011-01-06,870,873.25,861.025024,869.536987,2345920,595.443787
2011-01-07,865.838013,873.75,839.088013,842.687988,4275464,577.057983
2011-01-10,843.75,860.786987,838,848.937988,5195204,581.337891
2011-01-11,835,855.849976,822.025024,831.424988,6159708,569.345276
2011-01-12,837.5,847.5,829.549988,844.325012,5017700,578.178955
2011-01-13,823.25,824.75,798.75,801.299988,11176436,548.716187
2011-01-14,796.536987,819.474976,796.25,801.075012,5160820,548.562195
2011-01-17,800,820.424988,797.812012,817.200012,4109308,559.604309
2011-01-18,812.5,833.924988,812.5,830.75,4898584,568.883057
2011-01-19,826.786987,828.5,808.950012,812.400024,3467544,556.317383
2011-01-20,808,826.849976,804.525024,823.974976,3615924,564.243774
2011-01-21,817.75,819.5,807.75,810.963013,2313412,555.333313
2011-01-24,810,822.5,806.825012,821.161987,3750680,562.317383
2011-01-25,816.25,826.213013,809.013,814.911987,4962956,558.037659
2011-01-27,817.25,817.25,796.375,799.224976,6355324,547.29541
2011-01-28,801.450012,817.138,785.161987,792.036987,6342148,542.373108
2011-01-31,784.625,784.625,771.549988,779.424988,3874684,533.736755
2011-02-01,781.575012,782.099976,760.775024,772.299988,5150844,528.857483
2011-02-02,778.25,791,766.25,772.312012,4587364,528.865784
2011-02-03,775.349976,788.25,771.549988,779.400024,3024704,533.719482
2011-02-04,774.75,780.924988,756.599976,761.974976,3479940,521.78717
2011-02-07,768.724976,778.474976,765.25,771.862,3670564,528.557617
2011-02-08,775,780,768,774.150024,3011996,530.12439
2011-02-09,771.25,789.924988,766.974976,782.674988,3752072,535.962158
2011-02-10,776.411987,778.5,760.25,763.299988,4126076,522.694519
2011-02-11,757.549988,767.174988,755.088013,760.213013,5607076,520.580566
2011-02-14,761,779.575012,760.125,776.138,3489524,531.485718
2011-02-15,775,782.25,768.536987,776.638,2299976,531.828186
2011-02-16,770.562012,780.924988,770.275024,775.75,1460192,531.220093
2011-02-17,779.625,782,775.549988,778.338013,1696492,532.99231
2011-02-18,781.25,786.25,772.275024,775.075012,3551152,530.757874
2011-02-21,775,794.450012,769,791.312012,4699476,541.876709
2011-02-22,785.049988,791.75,778.5,785.463013,3042824,537.871277
2011-02-23,776.474976,776.474976,767.513,769.700012,3538192,527.077087
2011-02-24,762.5,770,748.75,752.200012,8243260,515.093445
2011-02-25,755.799988,760.661987,741.5,751.825012,5183360,514.836609
2011-02-28,755.5,783.700012,741.849976,749.275024,7257236,513.090454
2011-03-01,757.5,777,752,770.599976,4188816,527.69342
2011-03-03,764.525024,764.75,750.25,756.525024,6285928,518.055115
2011-03-04,766.75,772.5,762,765.549988,4885456,524.235229
2011-03-07,759,768.75,756.375,760.674988,3678864,520.896912
2011-03-08,757.562012,783,755.049988,779.075012,4257256,533.496948
2011-03-09,780,783.200012,767.75,773.875,3338220,529.936096
2011-03-10,773.75,775,765.625,772.562012,1719100,529.036926
2011-03-11,767,769.75,761.25,763.474976,3639136,522.814331
2011-03-14,758.75,777,757.661987,775.200012,1778976,530.843384
2011-03-15,758,764.724976,751.5,757.536987,4518912,518.748108
2011-03-16,756.25,765.362,755.013,757.724976,2797360,518.87677
2011-03-17,746.025024,749.75,742.75,744.674988,4160688,509.940277
2011-03-18,745.036987,748.700012,733.150024,735.275024,3734000,503.503418
2011-03-21,737.849976,739.25,726.088013,730.575012,3303548,500.284973
2011-03-22,733.786987,739.187988,731,735.763,2559872,503.837677
2011-03-23,733.687988,749.700012,731.75,748.338013,3633360,512.448853
2011-03-24,748.237,753.049988,744.687988,750.700012,4094616,514.066223
2011-03-25,761,796.25,760.013,790.763,6331396,541.500732
2011-03-28,784.75,789.388,777.437988,784.888,6028316,537.477539
2011-03-29,783,797.174988,782.237,793.338013,4930296,543.264038
2011-03-30,793,800.875,789.161987,792.724976,2804064,542.844177
2011-03-31,795.5,816.25,790.974976,810.325012,9419964,554.896301
2011-04-01,808.775024,814.062012,802,804.536987,2794144,550.932861
2011-04-04,806.25,824,805.25,820.786987,3687996,562.060608
2011-04-05,819.237,823.25,807.775024,820.812012,2151268,562.077637
2011-04-06,819.75,824.75,813.013,818.786987,3383460,560.69104
2011-04-07,815.474976,815.474976,809.424988,811.474976,1900144,555.684021
2011-04-08,810.5,816.161987,801.862,806.825012,2416464,552.499695
2011-04-11,798.825012,815.450012,795.25,810.400024,4000032,554.947815
2011-04-13,802.75,829.275024,799,826.549988,5534452,566.006958
2011-04-15,824.036987,824.650024,744.375,747.375,40509868,511.789337
2011-04-18,729.75,741.75,720,726.525024,20543356,497.511688
2011-04-19,726.5,731.75,720.25,721.838013,9605316,494.302063
2011-04-20,729.75,731.974976,722.75,726.825012,8974928,497.717163
2011-04-21,729.674988,735.125,725.275024,727.5,11976848,498.179291
2011-04-25,728.75,740.987,726.849976,735.325012,7763620,503.537659
2011-04-26,733.75,738.737,730,735.588013,9115440,503.717834
2011-04-27,736.25,741.161987,735.625,738.286987,4990664,505.566101
2011-04-28,737.25,739.5,730.25,732.286987,11709652,501.457306
2011-04-29,727.5,732.25,721.987,726.562012,8127168,497.537018
2011-05-02,729.763,736,727.5,730.638,6734092,500.328156
2011-05-03,730,739.286987,724.987,727.763,6617020,498.359344
2011-05-04,725.25,726.25,710.687988,717.437988,8462200,491.289001
2011-05-05,716.825012,719.724976,709.25,712.125,6330616,487.650848
2011-05-06,714.474976,727.5,712,723.25,5965332,495.268921
2011-05-09,727.5,729.25,716.875,727.138,2469100,497.931519
2011-05-10,726.924988,731.224976,718,720.013,2436684,493.052368
2011-05-11,720.5,731,719.987,726.513,3205036,497.503448
2011-05-12,724.474976,727.25,718,720.312012,2498240,493.257019
2011-05-13,720.799988,728,717.812012,719.588013,4141168,492.761414
2011-05-16,719,719,710.588013,712.599976,3234684,487.975983
2011-05-17,712.099976,719.325012,705.987,711.036987,3785236,486.905701
2011-05-18,712.5,720.588013,700.75,710.625,5088248,486.623566
2011-05-19,714.924988,714.924988,708.900024,711.612,3727980,487.299377
2011-05-20,711.25,715.924988,708.036987,712.463013,4011836,487.882172
2011-05-23,711.963013,713.200012,706.963013,709.263,3389440,485.690979
2011-05-24,708.25,715.963013,708.25,711.125,3812732,486.965973
2011-05-25,706.924988,706.924988,689.150024,697.161987,5537708,477.404327
2011-05-26,698.5,699.437988,689.5,694.138,4238088,489.372559
2011-05-27,690,701.75,690,696.875,3132472,491.302185
2011-05-30,701.525024,701.525024,690.25,695.150024,3433676,490.086182
2011-05-31,698.25,704.5,694.138,696.411987,10205304,490.9758
2011-06-01,698.5,706,696,702.888,4052932,495.541351
2011-06-02,695,705,694.25,700.763,3558644,494.043274
2011-06-03,702.75,710.700012,702.724976,704.049988,3146692,496.360535
2011-06-06,705.5,711.487,698.786987,709.474976,1884632,500.185333
