"Date","TARAJEWELS.NS.Open","TARAJEWELS.NS.High","TARAJEWELS.NS.Low","TARAJEWELS.NS.Close","TARAJEWELS.NS.Volume","TARAJEWELS.NS.Adjusted"
2016-02-05,43.25,45,41.049999,43.400002,42217,43.400002
2016-02-08,43.400002,46.099998,43.400002,44.75,33327,44.75
2016-02-09,43.049999,47.299999,43.049999,43.75,133313,43.75
2016-02-10,43.5,44.299999,41.799999,42.549999,58636,42.549999
2016-02-11,42.200001,43.5,38.299999,38.400002,112022,38.400002
2016-02-12,39,42.200001,35.099998,42.049999,203405,42.049999
2016-02-15,43.599998,46.25,43.599998,45.650002,160272,45.650002
2016-02-16,47.5,47.5,42,42.25,112880,42.25
2016-02-17,43.5,43.599998,39.099998,43.049999,70614,43.049999
2016-02-18,43.900002,45.349998,41.349998,42.549999,60796,42.549999
2016-02-19,41.650002,43.5,41.349998,41.799999,69420,41.799999
2016-02-22,42.400002,44.950001,41.5,43.349998,76031,43.349998
2016-02-23,43.599998,44.25,41.599998,42.299999,58419,42.299999
2016-02-24,41.150002,42.650002,40.049999,40.400002,36054,40.400002
2016-02-25,41,41.349998,39.099998,39.5,56918,39.5
2016-02-26,40.049999,41.299999,38.200001,39.200001,31032,39.200001
2016-02-29,39,39.650002,38.049999,38.799999,39694,38.799999
2016-03-01,38,42.650002,37.950001,42.650002,142596,42.650002
2016-03-02,43.049999,45.150002,40.849998,42,122338,42
2016-03-03,42.650002,42.700001,41.5,41.900002,36122,41.900002
2016-03-04,42.799999,48.400002,42.200001,45.849998,290327,45.849998
2016-03-08,45.849998,47.5,44.099998,46.200001,237894,46.200001
2016-03-09,45,47.299999,44.5,46.349998,199967,46.349998
2016-03-10,45.700001,46.400002,44.650002,44.950001,56377,44.950001
2016-03-11,44.950001,46.5,43.849998,44,63953,44
2016-03-14,44.150002,44.75,40.799999,41.75,171950,41.75
2016-03-15,41.75,42.5,40.099998,40.5,92226,40.5
2016-03-16,40.900002,40.900002,39.549999,40.400002,45510,40.400002
2016-03-17,41.099998,41.400002,39.099998,39.599998,95250,39.599998
2016-03-18,39.599998,40.650002,39.5,39.75,42420,39.75
2016-03-21,41.049999,43.400002,41,42.900002,165745,42.900002
2016-03-22,42.650002,43.700001,42,42.549999,130401,42.549999
2016-03-23,42.450001,42.799999,41.200001,41.5,70619,41.5
2016-03-28,41.5,41.849998,39.700001,40.049999,43723,40.049999
2016-03-29,40.5,41.200001,39.299999,39.5,46960,39.5
2016-03-30,40,40.75,36.75,40.299999,44282,40.299999
2016-03-31,40.049999,40.700001,39.049999,39.599998,48035,39.599998
2016-04-01,40.400002,42.400002,39.599998,41.799999,60104,41.799999
2016-04-04,42.75,43.150002,41.5,42.900002,41134,42.900002
2016-04-05,42.549999,42.549999,40.950001,41.099998,54437,41.099998
2016-04-06,41.150002,42.200001,41.099998,41.799999,30459,41.799999
2016-04-07,42.099998,42.25,41.049999,41.849998,19109,41.849998
2016-04-08,41.599998,43.299999,41.549999,42.450001,98564,42.450001
2016-04-11,42.900002,43.950001,42,42.400002,123809,42.400002
2016-04-12,43.400002,44.25,43,43.799999,71097,43.799999
2016-04-13,44.25,46.799999,43.799999,45.549999,300069,45.549999
2016-04-18,45.549999,45.900002,44.099998,44.549999,26045,44.549999
2016-04-20,44.549999,45.650002,43.650002,44.650002,69400,44.650002
2016-04-21,45.299999,47,45.049999,45.25,122163,45.25
2016-04-22,45.5,46,44.599998,44.799999,42287,44.799999
2016-04-25,44.400002,45.200001,42.799999,43.099998,37474,43.099998
2016-04-26,42.799999,43.900002,42.099998,43.25,41580,43.25
2016-04-27,43.299999,44.700001,43.299999,43.75,31200,43.75
2016-04-28,43.099998,44.400002,42.200001,42.650002,46816,42.650002
2016-04-29,42.700001,43.349998,41.900002,42.799999,27593,42.799999
2016-05-02,43,43.400002,40.799999,42.099998,32660,42.099998
2016-05-03,42.400002,42.900002,41.25,41.799999,28238,41.799999
2016-05-04,42.299999,45,40.900002,42.950001,99928,42.950001
2016-05-05,42.799999,43.349998,42.349998,42.75,31625,42.75
2016-05-06,42.900002,44,42.299999,42.950001,109437,42.950001
2016-05-09,42.599998,43.5,42.5,42.799999,24053,42.799999
2016-05-10,43.200001,43.200001,41,41.549999,30426,41.549999
2016-05-11,40,41.650002,40,40.650002,35950,40.650002
2016-05-12,41,42.900002,40,40.400002,60476,40.400002
2016-05-13,40.799999,41.349998,36,37.599998,209216,37.599998
2016-05-16,38.400002,39.900002,37.450001,39.299999,52112,39.299999
2016-05-17,40,40.549999,39.25,39.450001,41209,39.450001
2016-05-18,39.049999,40,38.799999,39.150002,42073,39.150002
2016-05-19,39.5,40,37.5,37.75,41729,37.75
2016-05-20,38.150002,38.5,37.25,37.549999,37158,37.549999
2016-05-23,37.900002,38.400002,37,37.299999,45131,37.299999
2016-05-24,33,34.900002,33,33.549999,245191,33.549999
2016-05-25,34,34,32,32.75,78933,32.75
2016-05-26,33.950001,34,32.200001,32.450001,44252,32.450001
2016-05-27,33,34.200001,33,33.650002,44084,33.650002
2016-05-30,33.650002,34.150002,32.049999,32.5,52157,32.5
2016-05-31,33.700001,34.700001,32.599998,32.849998,127698,32.849998
2016-06-01,33.799999,33.799999,32.849998,33.25,35751,33.25
2016-06-02,33,33.400002,32.5,32.799999,26829,32.799999
2016-06-03,33.150002,33.299999,32.400002,32.599998,41214,32.599998
2016-06-06,32.599998,32.900002,30.299999,31,80821,31
2016-06-07,31.9,32.5,30.9,31,87056,31
2016-06-08,31,32.349998,30.5,32.200001,57666,32.200001
2016-06-09,32.849998,33.099998,32,32.900002,39984,32.900002
2016-06-10,33.25,34.349998,32.799999,33.700001,71358,33.700001
2016-06-13,33.200001,33.450001,32.650002,33.200001,35510,33.200001
2016-06-14,32.700001,34,32.5,33.200001,33965,33.200001
2016-06-15,33.049999,34.799999,32.75,34.200001,72479,34.200001
2016-06-16,34.5,34.5,33.200001,34,52555,34
2016-06-17,34.5,35.200001,34.099998,34.549999,74329,34.549999
2016-06-20,33.700001,35.299999,33.700001,34.5,45469,34.5
2016-06-21,34.650002,34.950001,33.799999,34.400002,28867,34.400002
2016-06-22,34.75,34.75,33.5,33.799999,32584,33.799999
2016-06-23,34.299999,34.299999,33.349998,33.75,15299,33.75
2016-06-24,31.5,35.200001,31.049999,33.299999,94588,33.299999
2016-06-27,33.099998,39,33,37.150002,407342,37.150002
2016-06-28,37.299999,40,37.299999,39.049999,310963,39.049999
2016-06-29,39.700001,41.25,38.5,39.700001,175620,39.700001
2016-06-30,39.950001,41.200001,39,39.549999,116526,39.549999
2016-07-01,39.900002,40,38.400002,38.450001,53407,38.450001
2016-07-04,37.5,39.700001,37.5,38.25,53594,38.25
2016-07-05,38.349998,38.650002,37.450001,37.599998,36944,37.599998
2016-07-07,37.599998,38.5,37.299999,38,46804,38
2016-07-08,38,38,36.549999,36.849998,54882,36.849998
2016-07-11,38.5,38.799999,37.5,37.75,39137,37.75
2016-07-12,35.599998,37.799999,35.599998,37.150002,19573,37.150002
2016-07-13,37.849998,37.849998,36.75,37.25,175576,37.25
2016-07-14,37.900002,41.25,37.900002,39.849998,459879,39.849998
2016-07-15,39.900002,39.900002,38.099998,38.450001,87875,38.450001
2016-07-18,37.700001,39.349998,37.700001,38.5,45780,38.5
2016-07-19,38.849998,39,37.5,38.099998,28306,38.099998
2016-07-20,38.5,38.5,37,37.200001,61671,37.200001
2016-07-21,38.400002,38.400002,36.700001,37,50256,37
2016-07-22,37.25,39,36.549999,37.650002,92602,37.650002
2016-07-25,37,38.900002,37,37.599998,87267,37.599998
2016-07-26,37.099998,37.849998,36.25,36.549999,50439,36.549999
2016-07-27,37.049999,38.950001,36.25,37.799999,102416,37.799999
2016-07-28,38.400002,38.400002,33.299999,36.75,107625,36.75
2016-07-29,36.900002,39.299999,36.5,38.150002,132106,38.150002
2016-08-01,38,38.450001,36.650002,37.150002,94804,37.150002
2016-08-02,36.799999,37.700001,36.799999,37.25,28903,37.25
2016-08-03,37,37,34.5,36,63438,36
2016-08-04,37.400002,37.400002,35,35.200001,46662,35.200001
2016-08-05,35.099998,36.900002,35.099998,36.349998,52336,36.349998
2016-08-08,36.700001,36.700001,35.5,35.650002,23503,35.650002
2016-08-09,36.400002,37.599998,34.549999,36.849998,100357,36.849998
2016-08-10,37.349998,37.349998,35.200001,35.450001,60655,35.450001
2016-08-11,35.299999,37.299999,35.299999,35.549999,99031,35.549999
2016-08-12,35.75,36.450001,35.150002,35.299999,34636,35.299999
2016-08-16,35.299999,35.75,34.650002,34.900002,27291,34.900002
2016-08-17,34.900002,36.799999,34.900002,35.549999,20414,35.549999
2016-08-18,35.549999,35.900002,34.799999,35.75,25527,35.75
2016-08-19,35.150002,36.75,34.75,35.049999,31112,35.049999
2016-08-22,37.900002,42.049999,37,40.450001,1024732,40.450001
2016-08-23,41.099998,44,40.650002,41.650002,468543,41.650002
2016-08-24,42.950001,42.950001,40.599998,42,152745,42
2016-08-25,41.950001,42.75,40.049999,40.700001,129787,40.700001
2016-08-26,41,42,40.200001,41.700001,102030,41.700001
2016-08-29,42,42.5,41.150002,41.700001,61999,41.700001
2016-08-30,42,42.299999,41.099998,41.650002,59087,41.650002
2016-08-31,42,42.5,41.700001,42.299999,73548,42.299999
2016-09-01,42.5,46,41.700001,43.950001,240168,43.950001
2016-09-02,44,46,42.25,42.75,103120,42.75
2016-09-06,42.75,42.75,35.549999,37.950001,372961,37.950001
2016-09-07,38.549999,40,38,38.599998,148094,38.599998
2016-09-08,38.150002,39.5,38.150002,38.450001,47921,38.450001
2016-09-09,38.5,38.799999,35.799999,37.900002,70082,37.900002
2016-09-12,36.599998,38.599998,36.599998,37.299999,96187,37.299999
2016-09-14,37.299999,44.700001,37.299999,42.900002,884826,42.900002
2016-09-15,43.200001,45.950001,42.5,43.549999,604455,43.549999
2016-09-16,43.75,44.049999,41.049999,41.650002,138328,41.650002
2016-09-19,42.799999,43.599998,41,41.450001,80511,41.450001
2016-09-20,41.950001,42.099998,40,40.799999,54312,40.799999
2016-09-21,43.5,43.5,41.349998,42.450001,159028,42.450001
2016-09-22,44,44,42.349998,42.75,85473,42.75
2016-09-23,43.450001,43.450001,41.099998,42.5,48618,42.5
2016-09-26,43.450001,43.450001,41.549999,41.75,40306,41.75
2016-09-27,42.5,42.700001,41.299999,41.75,38008,41.75
2016-09-28,43.450001,44,42.200001,42.700001,135537,42.700001
2016-09-29,42.549999,43.5,38.200001,39.099998,134509,39.099998
2016-09-30,40.450001,42.5,39.5,40.200001,98700,40.200001
2016-10-03,41.900002,41.900002,40.549999,41.599998,44148,41.599998
2016-10-04,42.25,42.299999,38.650002,40.700001,69292,40.700001
2016-10-05,41.099998,41.900002,41.099998,41.450001,45084,41.450001
2016-10-06,41.900002,43.75,41.099998,42.099998,109633,42.099998
2016-10-07,44.299999,44.75,40.099998,43.900002,288630,43.900002
2016-10-10,44,50,43.700001,47.75,1368892,47.75
2016-10-13,47.75,50.25,46.099998,47.549999,615824,47.549999
2016-10-14,47.549999,48.5,46.200001,46.450001,169516,46.450001
2016-10-17,46.849998,46.900002,44.5,45.049999,87815,45.049999
2016-10-18,45.75,47,45.200001,45.849998,116429,45.849998
2016-10-19,46.349998,46.549999,44.25,44.700001,108514,44.700001
2016-10-20,45.799999,48.349998,44.599998,47.200001,390662,47.200001
2016-10-21,47.450001,47.849998,46.099998,46.700001,122557,46.700001
