"Date","BLUECHIP.NS.Open","BLUECHIP.NS.High","BLUECHIP.NS.Low","BLUECHIP.NS.Close","BLUECHIP.NS.Volume","BLUECHIP.NS.Adjusted"
2016-07-08,0.45,0.55,0.45,0.45,62873,0.45
2016-07-11,0.5,0.5,0.45,0.5,19079,0.5
2016-07-12,0.55,0.55,0.45,0.55,5200,0.55
2016-07-13,0.55,0.55,0.55,0.55,0,0.55
2016-07-14,0.55,0.55,0.55,0.55,0,0.55
2016-07-15,0.55,0.55,0.55,0.55,0,0.55
2016-07-18,0.5,0.5,0.5,0.5,4900,0.5
2016-07-19,0.45,0.45,0.45,0.45,12591,0.45
2016-07-20,0.45,0.45,0.4,0.45,16190,0.45
2016-07-21,0.45,0.45,0.45,0.45,110,0.45
2016-07-22,0.4,0.45,0.4,0.4,21526,0.4
2016-07-25,0.45,0.45,0.45,0.45,12110,0.45
2016-07-26,0.45,0.45,0.4,0.45,13360,0.45
2016-07-27,0.45,0.45,0.45,0.45,553,0.45
2016-07-28,0.45,0.45,0.4,0.45,12500,0.45
2016-07-29,0.5,0.5,0.45,0.5,5793,0.5
2016-08-01,0.45,0.55,0.45,0.45,39851,0.45
2016-08-02,0.4,0.5,0.4,0.4,3300,0.4
2016-08-03,0.45,0.45,0.4,0.45,9140,0.45
2016-08-04,0.45,0.45,0.45,0.45,0,0.45
2016-08-05,0.45,0.45,0.4,0.45,1501,0.45
2016-08-08,0.4,0.4,0.4,0.4,88211,0.4
2016-08-09,0.45,0.45,0.35,0.45,4300,0.45
2016-08-10,0.45,0.45,0.45,0.45,100,0.45
2016-08-11,0.4,0.4,0.4,0.4,2000,0.4
2016-08-12,0.4,0.4,0.4,0.4,1500,0.4
2016-08-16,0.4,0.4,0.4,0.4,3231,0.4
2016-08-17,0.4,0.4,0.4,0.4,200,0.4
2016-08-18,0.4,0.4,0.4,0.4,0,0.4
2016-08-19,0.4,0.4,0.4,0.4,1025,0.4
2016-08-22,0.4,0.4,0.4,0.4,16214,0.4
2016-08-23,0.4,0.4,0.4,0.4,12287,0.4
2016-08-24,0.4,0.4,0.4,0.4,3000,0.4
2016-08-25,0.4,0.4,0.4,0.4,0,0.4
2016-08-26,0.4,0.4,0.4,0.4,99,0.4
2016-08-29,0.4,0.4,0.4,0.4,500,0.4
2016-08-30,0.4,0.4,0.4,0.4,0,0.4
2016-08-31,0.4,0.4,0.4,0.4,100,0.4
2016-09-01,0.4,0.4,0.4,0.4,0,0.4
2016-09-02,0.4,0.45,0.4,0.4,3648,0.4
2016-09-06,0.4,0.4,0.4,0.4,1000,0.4
2016-09-07,0.4,0.4,0.4,0.4,0,0.4
2016-09-08,0.4,0.4,0.4,0.4,5000,0.4
2016-09-09,0.4,0.4,0.4,0.4,500,0.4
2016-09-12,0.4,0.4,0.4,0.4,0,0.4
2016-09-14,0.4,0.4,0.4,0.4,12,0.4
2016-09-15,0.4,0.4,0.4,0.4,8500,0.4
2016-09-16,0.4,0.4,0.4,0.4,4,0.4
2016-09-19,0.4,0.4,0.4,0.4,34000,0.4
2016-09-20,0.4,0.4,0.4,0.4,0,0.4
2016-09-21,0.4,0.4,0.4,0.4,0,0.4
2016-09-22,0.4,0.4,0.4,0.4,1000,0.4
2016-09-23,0.45,0.45,0.45,0.45,180,0.45
2016-09-26,0.45,0.45,0.4,0.45,1010,0.45
2016-09-27,0.45,0.45,0.45,0.45,100,0.45
2016-09-28,0.4,0.45,0.4,0.4,2102,0.4
2016-09-29,0.4,0.4,0.4,0.4,300,0.4
2016-09-30,0.45,0.45,0.35,0.45,5999,0.45
2016-10-03,0.45,0.45,0.45,0.45,7349,0.45
2016-10-04,0.45,0.45,0.45,0.45,100,0.45
2016-10-05,0.45,0.45,0.45,0.45,0,0.45
2016-10-06,0.45,0.45,0.4,0.45,1800,0.45
2016-10-07,0.45,0.45,0.45,0.45,200,0.45
2016-10-10,0.45,0.45,0.4,0.45,2412,0.45
2016-10-13,0.45,0.45,0.4,0.45,6350,0.45
2016-10-14,0.45,0.45,0.4,0.45,1101,0.45
2016-10-17,0.4,0.4,0.4,0.4,1000,0.4
2016-10-18,0.45,0.45,0.35,0.45,2250,0.45
2016-10-19,0.4,0.4,0.4,0.4,7000,0.4
2016-10-20,0.45,0.45,0.45,0.45,100,0.45
2016-10-21,0.45,0.45,0.45,0.45,300,0.45
2016-10-24,0.4,0.45,0.4,0.4,114,0.4
2016-10-25,0.45,0.45,0.45,0.45,8590,0.45
2016-10-26,0.45,0.45,0.4,0.45,2601,0.45
2016-10-27,0.45,0.45,0.45,0.45,0,0.45
2016-10-28,0.45,0.45,0.45,0.45,133,0.45
2016-11-01,0.45,0.5,0.45,0.5,50,0.5
2016-11-02,0.55,0.55,0.55,0.55,100,0.55
2016-11-03,0.55,0.55,0.55,0.55,0,0.55
2016-11-04,0.55,0.55,0.55,0.55,0,0.55
2016-11-07,0.55,0.55,0.55,0.55,0,0.55
2016-11-08,0.55,0.55,0.55,0.55,100,0.55
2016-11-09,0.5,0.5,0.5,0.5,4000,0.5
2016-11-10,0.45,0.5,0.45,0.45,5666,0.45
2016-11-11,0.45,0.45,0.45,0.45,1200,0.45
