"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2016-01-11,300.833008,300.833008,295.132996,296.016998,2300946,247.619034
2016-01-12,296.016998,299.766998,294.117004,296.71701,3757566,248.20462
2016-01-13,298.96701,300.833008,289.333008,298.632996,4658322,249.807312
2016-01-14,293.666992,306.600006,292.833008,303.132996,3237657,253.571594
2016-01-15,303.600006,315.666992,303.21701,310.850006,8973981,260.026855
2016-01-18,310.183014,313.083008,296.516998,298.867004,4099638,250.003098
2016-01-19,299.333008,302.083008,294,298.600006,2877315,249.779724
2016-01-20,297.666992,300.600006,291.833008,295.166992,6322434,246.90799
2016-01-21,297.333008,299.566986,288.5,291.850006,3249462,244.133331
2016-01-22,293,296.100006,290.566986,294.416992,2362179,246.280609
2016-01-25,294.516998,295.549988,289.350006,292.632996,2871777,244.7883
2016-01-27,292.933014,296.166992,289.617004,290.200012,5216286,242.753098
2016-01-28,290.5,292.5,287,289.632996,6811221,242.278793
2016-01-29,289.632996,302.166992,288.566986,297.71701,4697028,249.041092
2016-02-01,297,297.75,290.566986,293.382996,2774454,245.41568
2016-02-02,291,291.433014,281.867004,283.433014,2839425,247.643692
2016-02-03,281.882996,285.799988,275.166992,276.516998,4254372,241.600967
2016-02-04,278.333008,284,274.733002,277.25,5064285,242.241425
2016-02-05,278.933014,282.166992,275.53299,281,2417334,245.517899
2016-02-08,281,284.367004,274.46701,275.066986,1812996,240.334061
2016-02-09,273.96701,279.833008,272.233002,274.96701,5467233,240.246704
2016-02-10,276.25,280.632996,270.983002,279.183014,2370072,243.930359
2016-02-11,278.266998,279.183014,270.683014,272.583008,3265755,238.163757
2016-02-12,273.899994,274.233002,254.100006,257.600006,7004490,225.072647
2016-02-15,266.566986,269.53299,258.882996,259.916992,4581294,227.097076
2016-02-16,261.233002,261.233002,243.949997,250.332993,6014403,218.723251
2016-02-17,253,261.833008,251.667007,260.316986,6054804,227.446548
2016-02-18,263.683014,266.583008,260.299988,263.25,6261795,230.009201
2016-02-19,263.333008,263.333008,253.832993,255.283005,5088966,223.048203
2016-02-22,255,256.649994,249.817001,253.132996,4187106,221.169678
2016-02-23,253.367004,253.983002,243.716995,245.350006,3948507,214.369476
2016-02-24,247.167007,257.566986,246.350006,256.299988,6934908,223.936783
2016-02-25,256.149994,256.583008,248.516998,254.716995,6345588,222.55368
2016-02-26,259,259,250,254.899994,3694398,222.713577
2016-02-29,253.682999,262.666992,246.667007,256.416992,29379696,224.039017
2016-03-01,256.416992,266.617004,256.333008,264.566986,2935047,231.159897
2016-03-02,266.333008,271.666992,261,262.200012,3463908,229.091797
2016-03-03,262.46701,264.28299,257.100006,263.316986,3907266,233.180374
2016-03-04,264.299988,272.632996,262.299988,271.733002,5138232,240.633163
2016-03-08,273.266998,278.28299,269.166992,273.632996,4500384,242.31572
2016-03-09,271.166992,274,265.53299,266.450012,5800557,235.954819
2016-03-10,269.600006,269.600006,262.766998,264.71701,4664613,234.420151
2016-03-11,266,271.649994,265,267.882996,4003893,237.223801
2016-03-14,269,270.983002,265.666992,268.25,3031815,237.548813
2016-03-15,268.666992,273.299988,268.516998,270.299988,3240372,239.364151
2016-03-16,273.899994,274.416992,271.700012,272.799988,4948587,241.578049
2016-03-17,275.882996,289.799988,275,288.28299,12225855,255.289001
2016-03-18,286.666992,287.950012,284.100006,285.632996,5105454,252.942291
2016-03-21,288.25,293.299988,286.78299,290.016998,5058696,256.824554
2016-03-22,288.5,295.933014,286.850006,290.233002,4489725,257.015839
2016-03-23,291.632996,293.333008,288.066986,289.5,3492933,256.36673
2016-03-28,290.5,295.733002,287.850006,291.200012,5282454,257.872192
2016-03-29,292.516998,296.450012,289.899994,291.333008,4810161,257.98996
2016-03-30,292.78299,302.5,290.683014,300.382996,7255341,266.00415
2016-03-31,301.299988,307.299988,299.649994,301.433014,8427816,266.934021
2016-04-01,300,300,295.066986,295.75,2847495,261.901428
2016-04-04,298.333008,299.132996,293.53299,295.666992,2808822,261.827911
2016-04-05,299.666992,303.299988,294.666992,296.799988,4922274,262.831268
2016-04-06,299,299.333008,292.850006,296.71701,5339904,262.757721
2016-04-07,299.28299,301.266998,294.46701,295.016998,4778736,261.252289
2016-04-08,295.666992,300.5,293.399994,299.882996,1811370,265.561401
2016-04-11,297.700012,306.617004,297.700012,305.733002,3227400,270.741852
2016-04-12,309.53299,313.266998,305.983002,306.950012,4523286,271.819611
2016-04-13,308.333008,311,305.333008,308.549988,3126750,273.23645
2016-04-18,308.333008,326.566986,308.333008,323.299988,6116310,286.298309
2016-04-20,322.683014,323.233002,317.016998,318.083008,3955512,281.678406
2016-04-21,318.083008,328.316986,318.083008,323.583008,3208590,286.54895
2016-04-22,320.666992,325.983002,320.100006,321.96701,1977723,285.11792
2016-04-25,320.03299,327.333008,319.583008,326.100006,1963446,288.777893
2016-04-26,324.03299,327.950012,323.600006,325.266998,2979375,288.040192
2016-04-27,323.666992,331.583008,323.666992,327.450012,2355948,289.973358
2016-04-28,327.333008,329.75,319.46701,320.916992,3605892,284.188049
2016-04-29,320,327.166992,320,326,1724394,288.68927
2016-05-02,327.333008,329.066986,322,323.183014,1234971,286.194702
