"Date","HDFCBANK.NS.Open","HDFCBANK.NS.High","HDFCBANK.NS.Low","HDFCBANK.NS.Close","HDFCBANK.NS.Volume","HDFCBANK.NS.Adjusted"
2016-02-04,1063.622,1070.625,1061.136,1049.199951,1418998,1033.789307
2016-02-05,1068.494,1079.658,1061.187,1055.25,1880976,1039.750488
2016-02-08,1070.727,1073.772,1045.659,1035.849976,870481,1020.635376
2016-02-09,1042.005,1046.927,1035.865,1026.050049,1383865,1010.979492
2016-02-10,1039.163,1045.506,1025.157,1012.950012,1920570,998.071838
2016-02-11,1025.056,1028.101,982.633,975.299988,2200900,960.974854
2016-02-12,993.594,1001.155,980.4,971.400024,3135536,957.132141
2016-02-15,994.609,1002.982,985.576,973.599976,2728240,959.299744
2016-02-16,996.131,996.639,976.34,973.450012,1784024,959.151978
2016-02-17,991.463,994.507,973.296,974.900024,1875981,960.580688
2016-02-18,1000.698,1006.026,991.564,989.450012,1699964,974.916992
2016-02-19,1003.489,1007.397,988.012,989.299988,832165,974.769165
2016-02-22,997.653,1010.847,997.653,988.75,1000599,974.227295
2016-02-23,999.582,1000.191,980.4,970.049988,1519580,955.801941
2016-02-24,974.311,977.254,960.508,949.599976,1615867,935.652222
2016-02-25,968.221,971.52,952.186,942.650024,2115799,928.804382
2016-02-26,964.162,985.475,959.087,961,1552347,946.884827
2016-02-29,975.427,997.247,941.834,971.849976,2203188,957.5755
2016-03-01,989.484,1001.459,986.337,984.150024,1080640,969.694824
2016-03-02,1012.877,1025.969,1009.832,1007.200012,1589744,992.406311
2016-03-03,1025.817,1035.205,1025.056,1015.849976,1152600,1000.929199
2016-03-04,1030.587,1040.178,1007.904,1020.549988,1426156,1005.560181
2016-03-08,1039.265,1039.265,1024.549,1014.150024,478422,999.254211
2016-03-09,1028.101,1045.253,1021.758,1024.800049,1632043,1009.747803
2016-03-10,1040.077,1041.041,1025.157,1021.25,667848,1006.249939
2016-03-11,1035.104,1046.166,1028.101,1028.699951,1182714,1013.590393
2016-03-14,1043.324,1053.423,1040.533,1027.550049,752164,1012.457397
2016-03-15,1043.223,1048.805,1036.88,1026.699951,1922509,1011.619812
2016-03-16,1042.309,1049.667,1034.139,1030.449951,1200887,1015.314758
2016-03-17,1050.378,1054.488,1026.223,1018.400024,1278371,1003.441772
2016-03-18,1038.199,1047.384,1030.486,1028.400024,1033767,1013.294922
2016-03-21,1048.399,1062.963,1047.638,1045.599976,1329699,1030.242188
2016-03-22,1062.1,1072.351,1056.214,1053.849976,1030066,1038.371094
2016-03-23,1068.748,1068.748,1056.061,1049.349976,2116075,1033.937134
2016-03-28,1060.578,1068.697,1057.178,1047.5,2817717,1032.114258
2016-03-29,1063.115,1075.294,1059.817,1053.800049,1683488,1038.321777
2016-03-30,1073.772,1085.849,1069.61,1064.949951,1953595,1049.307983
2016-03-31,1082.753,1094.983,1080.927,1071.150024,5020098,1055.416992
2016-04-01,1084.733,1092.446,1072.554,1064.449951,1289662,1048.815308
2016-04-04,1081.079,1088.792,1079.861,1069.050049,1544990,1053.3479
2016-04-05,1084.935,1092.953,1071.386,1057.449951,1665757,1041.918213
2016-04-06,1076.816,1082.855,1072.503,1061.5,1073844,1045.908691
2016-04-07,1079.861,1080.622,1062.658,1055.5,977923,1039.996826
2016-04-08,1070.727,1079.201,1069.966,1059.349976,740699,1043.790283
2016-04-11,1076.106,1090.112,1058.396,1070.949951,1012405,1055.219849
2016-04-12,1085.544,1086.965,1075.04,1063,1235370,1047.386719
2016-04-13,1087.98,1101.123,1085.443,1081.75,1243651,1065.861206
2016-04-18,1099.652,1108.278,1087.574,1087.800049,1029267,1071.82251
2016-04-20,1108.177,1116.398,1099.703,1097.849976,955338,1081.724731
2016-04-21,1111.323,1121.624,1105.234,1091.150024,2047932,1075.123169
2016-04-22,1105.741,1117.26,1101.377,1092.150024,1952330,1076.108643
2016-04-25,1116.398,1116.398,1100.667,1093.25,1390490,1077.192383
2016-04-26,1111.323,1131.621,1108.786,1113.849976,1763449,1097.489746
2016-04-27,1126.394,1141.77,1125.532,1124.199951,1440909,1107.687744
2016-04-28,1140.958,1153.645,1126.902,1113.949951,2022396,1097.588257
2016-04-29,1130.403,1152.934,1122.69,1132.349976,1402985,1115.71814
2016-05-02,1144.561,1146.845,1132.636,1117.650024,965679,1101.234009
2016-05-03,1138.624,1151.919,1129.744,1118,1173824,1101.578857
2016-05-04,1134.158,1151.412,1130.86,1127.349976,1323082,1110.791504
2016-05-05,1144.815,1151.666,1139.436,1132.300049,1303562,1115.668823
