"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2014-12-03,637.642,650.588,635.158,606.049988,1750564,573.457336
2014-12-04,641.182,647.629,625.118,595.849976,1898530,563.805908
2014-12-05,631.988,634.682,617.72,587.650024,1783648,556.046875
2014-12-08,620.468,626.703,602.449,572.549988,1746068,541.758911
2014-12-09,600.494,610.217,582.845,553.150024,1687724,523.402283
2014-12-10,583.373,598.169,579.41,562.650024,2041465,532.391418
2014-12-11,592.885,597.112,575.235,547.450012,1969133,518.008789
2014-12-12,580.308,585.751,554.839,529.099976,2442361,500.64563
2014-12-15,552.513,561.761,546.595,524.150024,1865902,495.961884
2014-12-16,548.392,556.529,521.654,496.799988,2501041,470.082703
2014-12-17,521.02,527.361,499.038,481.100006,3520336,455.22702
2014-12-18,519.012,536.714,519.012,504.850006,2311868,477.699768
2014-12-19,539.567,544.217,518.166,492.75,1992125,466.250488
2014-12-22,520.491,538.405,513.833,506.75,2283928,479.497589
2014-12-23,534.759,536.291,514.045,490.450012,2128956,464.074188
2014-12-24,515.366,535.287,513.463,498.5,3090700,471.691284
2014-12-26,528.47,529.474,517.955,496.049988,1462812,469.373047
2014-12-29,524.824,548.498,524.719,507.549988,2456847,480.254578
2014-12-30,537.929,540.994,531.271,508.799988,1777141,481.437347
2014-12-31,537.242,546.278,535.34,512.049988,1310816,484.512573
2015-01-01,538.035,545.327,536.502,512.25,833198,484.701843
2015-01-02,541.417,555.895,540.307,518.049988,1738267,490.18988
2015-01-05,548.392,553.57,541.1,515.049988,1325028,487.351196
2015-01-06,538.88,538.986,512.618,487.549988,2099712,461.330109
2015-01-07,514.679,518.906,499.355,476.700012,2064801,451.063629
2015-01-08,512.565,522.711,507.387,488.549988,2379775,462.276367
2015-01-09,523.503,526.515,505.379,485.350006,2059545,459.248474
2015-01-12,512.565,519.91,505.379,485.049988,1474108,458.964569
2015-01-13,513.992,519.963,499.09,475.950012,1859062,450.354004
2015-01-14,506.224,506.753,484.876,462.100006,2318205,437.24884
2015-01-15,503.054,517.638,492.855,486.850006,2801539,460.667816
2015-01-16,511.931,522.975,503.741,485.75,1988487,459.626953
2015-01-19,513.886,523.979,513.622,490.049988,1242509,463.695679
2015-01-20,519.963,529.105,518.008,495.450012,1807424,468.805298
2015-01-21,526.727,527.731,506.753,482.600006,1869280,456.646362
2015-01-22,510.451,515.207,499.09,477.100006,1785509,451.442139
2015-01-23,510.451,515.947,491.745,484.25,3265868,458.207611
2015-01-27,514.679,517.796,504.322,483.100006,1660616,457.119476
2015-01-28,510.24,515.419,501.046,481.049988,1641798,455.179688
2015-01-29,509.342,511.825,503.106,479.5,1219310,453.713074
2015-01-30,509.395,543.53,509.395,508.25,4284961,480.916931
2015-02-02,535.287,551.615,532.011,517.25,2257809,489.432922
2015-02-03,549.554,550.664,527.097,500.799988,2243651,473.867554
2015-02-04,530.848,538.246,522.552,497.799988,2090857,471.0289
2015-02-05,526.832,528.523,492.485,469.799988,2429948,444.534698
2015-02-06,496.396,502.895,479.381,458.799988,2080196,434.126282
2015-02-09,471.032,471.032,441.229,419.350006,3199910,396.797852
2015-02-10,433.302,457.398,423.104,421.350006,5239287,398.690308
2015-02-11,448.574,452.484,439.274,421.899994,2383284,399.210724
2015-02-12,449.525,469.975,449.525,441.649994,3815787,417.89856
2015-02-13,470.239,480.332,463.951,446.700012,2195137,422.677002
2015-02-16,478.641,485.933,472.934,450.600006,2178005,426.367279
2015-02-18,478.694,489.685,474.308,457.350006,1907976,432.754272
2015-02-19,487.201,499.513,473.462,468.850006,2244515,443.635803
2015-02-20,496.871,502.525,489.526,465.950012,1951489,440.891785
2015-02-23,491.481,500.147,481.917,459.899994,1946904,435.167114
