"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2015-11-10,117.544998,117.544998,112.726997,113.582001,1998139,92.528999
2015-11-13,113.582001,115,111.236,112.341003,1255793,91.518036
2015-11-16,112.273003,114.882004,111.376999,113.490997,1334630,92.454865
2015-11-17,113.667999,115.363998,113.482002,114.009003,1653586,92.876854
2015-11-18,114.091003,114.359001,111.386002,111.867996,1425325,91.132698
2015-11-19,112.376999,113.863998,111.867996,113.445,888052,92.417397
2015-11-20,113.636002,115.181999,112.617996,113.894997,2955821,92.783989
2015-11-23,114.726997,114.927002,112.968002,113.718002,1383140,92.639801
2015-11-24,114.181999,115.726997,113.455002,114.099998,2260830,92.951004
2015-11-26,114.099998,117.394997,113.455002,116.305,5108796,94.747292
2015-11-27,116.431999,117.908997,115.367996,115.900002,1313180,94.417343
2015-11-30,114.726997,115.904999,113.468002,113.986,2412047,92.858116
2015-12-01,114.113998,115.082001,112.273003,112.541,1479434,91.680962
2015-12-02,113.177002,113.177002,110.181999,110.767998,2041105,90.236595
2015-12-03,110,112.740997,109.914001,111.218002,1898853,90.603188
2015-12-04,110.273003,112.636002,110.044998,111.445,1308813,90.788109
2015-12-07,112.672997,112.672997,110.273003,111.254997,1262745,90.633324
2015-12-08,110.718002,111.818001,110.009003,110.441002,1157288,89.9702
2015-12-09,110.181999,111.355003,107.740997,108.849998,2163359,88.674103
2015-12-10,109,109.658997,107.144997,108.359001,2461888,88.274109
2015-12-11,108.636002,109.955002,105.818001,106.463997,2295216,86.730354
2015-12-14,106.455002,108.867996,105.273003,107.822998,1209648,87.837456
2015-12-15,108.091003,108.417999,106.473,107.031998,1658899,87.193085
2015-12-16,108.382004,110.509003,107.455002,108.632004,2038674,88.496513
2015-12-17,109.091003,110.591003,109.085999,109.514,3481907,89.215034
2015-12-18,109.544998,113.591003,109.095001,112.144997,10708621,91.35836
2015-12-21,111.181999,114.894997,111.181999,114.349998,4514796,93.15464
2015-12-22,114.091003,116.273003,113.726997,115.476997,4188910,94.072746
2015-12-23,115.900002,116.544998,113.908997,115.654999,1844777,94.217758
2015-12-24,116.818001,121.308998,115.832001,119.740997,6791103,97.546402
2015-12-28,119.740997,120.595001,118.482002,118.814003,3006938,96.791229
2015-12-29,119.150002,122.667999,118.908997,122.144997,7006692,99.504807
2015-12-30,123,125.085999,122.363998,122.949997,5424364,100.160599
2015-12-31,123.713997,125.681999,123.181999,124.644997,6494158,101.54142
2016-01-01,125.181999,125.441002,123.791,125.068001,2544168,101.886009
2016-01-04,124.713997,128.804993,124.091003,124.550003,4814733,101.464043
2016-01-05,125.363998,126.544998,123.544998,124.195,2912932,101.174828
2016-01-06,124.091003,125.455002,122.091003,123.036003,1972454,100.230652
2016-01-07,123,123,116.805,117.617996,4677651,95.81691
2016-01-08,118.636002,119.995003,117,118.004997,2199186,96.132172
2016-01-11,117.455002,121.536003,115.555,120.963997,3349313,98.542702
2016-01-12,122,124.504997,121.318001,121.827003,5603345,99.245758
2016-01-13,122.726997,123.636002,117.681999,121.794998,5731561,99.219681
2016-01-14,120.181999,120.894997,117.273003,118.882004,1851498,96.846619
2016-01-15,119.408997,120.455002,113,114.504997,2034351,93.280914
2016-01-18,113.818001,114.777,108.822998,112.291,2557874,91.477295
2016-01-19,112.726997,114.818001,110.959,114.373001,1973510,93.173386
2016-01-20,111.408997,112.599998,106.968002,110.264,2825702,89.826012
2016-01-21,111,112.713997,105.713997,106.550003,5392706,86.800423
2016-01-22,108.172997,110.181999,105.341003,108.514,3866192,88.400383
2016-01-25,110.126999,111.726997,109.091003,109.945,2468004,89.566147
2016-01-27,109.945,119.873001,108.5,109.636002,12502435,89.314407
2016-01-28,109.818001,112.636002,108.726997,111.617996,4174313,90.929039
2016-01-29,111.908997,112.827003,110.632004,111.959,1781923,91.206833
2016-02-01,113.181999,113.5,111.091003,112.132004,2266319,91.347763
2016-02-02,112.636002,113.181999,110.455002,111.205002,1836978,90.59259
2016-02-03,110.318001,112.726997,108.976997,110.544998,2618858,90.054924
2016-02-04,111.373001,112.422997,109.132004,110.990997,2832115,92.510399
2016-02-05,111,112.759003,110.363998,112.355003,1261249,93.647285
2016-02-08,112.363998,114.136002,111.363998,111.832001,1520266,93.211365
2016-02-09,110,111.277,109.140999,109.914001,1532927,91.612732
2016-02-10,110.181999,110.181999,107.527,108.014,2140655,90.029083
2016-02-11,107.273003,108.218002,100.5,102.185997,4560963,85.171478
2016-02-12,102.273003,105.273003,98.968201,102.314003,4938494,85.278175
2016-02-15,103.636002,107.672997,103.541,105.572998,1489873,87.99453
2016-02-16,106.822998,107.363998,100.181999,101.482002,1991792,84.584709
2016-02-17,100.818001,102.335999,98.181801,101.827003,3730859,84.872261
2016-02-18,103.544998,104.544998,102.273003,104.068001,2543893,86.740112
2016-02-19,102.726997,103.617996,102.055,102.705002,1904309,85.604057
2016-02-22,103.536003,106.726997,102.550003,105.226997,2702623,87.706131
2016-02-23,105.955002,105.955002,101.318001,101.541,2807332,84.633873
2016-02-24,101.726997,103.445,98.363602,99.181801,3149355,82.667496
2016-02-25,100,100.726997,95.909103,96.990898,2794891,80.841385
2016-02-26,97.636398,98.040901,95.459099,95.977303,2937000,79.996559
2016-02-29,96.227303,98.063599,93.181801,93.631798,4254096,78.041603
2016-03-01,93.181801,94.8591,91.636398,94.481796,6497876,78.750076
2016-03-02,95.636398,97.727303,95.090897,95.522697,4111866,79.617653
2016-03-03,96.363602,98.854599,95.954597,97.740898,5664802,81.466515
2016-03-04,98.631798,100.882004,96.818199,100.050003,4674142,83.391136
2016-03-08,100.050003,101.318001,98.131798,98.736397,2035935,82.296242
2016-03-09,98.727303,99.909103,97.099998,99.545403,1734744,82.970558
2016-03-10,99.645401,100.117996,97.636398,98.5364,1762739,82.129555
2016-03-11,98.5364,100.449997,97.909103,98.800003,2368465,82.349274
2016-03-14,99.181801,99.727303,95.863602,97.699997,3334815,81.432411
2016-03-15,98,98,95.150002,96.677299,2015497,80.580009
2016-03-16,97.272697,97.272697,95.090897,96.827301,3005772,80.705032
2016-03-17,97.727303,99.636398,97.272697,98.5364,4033513,82.129555
2016-03-18,99.454597,100.699997,98.868202,100.259003,4529371,83.565338
2016-03-21,100.455002,109.363998,100.177002,107.004997,10128712,89.188087
2016-03-22,108.181999,109.273003,107.068001,108.308998,7052727,90.274963
2016-03-23,108.591003,111.091003,106.805,109.245003,3248971,91.055115
2016-03-28,109.245003,110.800003,105.281998,106.150002,3334661,88.475449
2016-03-29,106.417999,108.463997,105.595001,107.281998,2687366,89.418961
2016-03-30,108.726997,110.555,107.636002,109.990997,4288757,91.676903
2016-03-31,110.818001,113.544998,108.818001,111.300003,8884678,92.767944
