"Date","RELIANCE.NS.Open","RELIANCE.NS.High","RELIANCE.NS.Low","RELIANCE.NS.Close","RELIANCE.NS.Volume","RELIANCE.NS.Adjusted"
2010-09-06,535.698,551.091,530.721,476.325012,15510902,413.884979
2010-09-07,549.537,557.996,548.386,481.149994,12974248,418.077484
2010-09-08,549.595,555.119,547.811,479.799988,5318152,416.904449
2010-09-09,554.112,556.557,549.652,479.274994,4623922,416.448303
2010-09-13,559.319,572.842,555.493,496.25,12560330,431.19812
2010-09-14,572.842,577.158,566.426,494.075012,8902380,429.308197
2010-09-15,569.102,586.192,569.102,506.950012,15340078,440.495453
2010-09-16,582.394,584.265,573.82,500.174988,8476312,434.608521
2010-09-17,578.309,593.5,578.309,513.674988,14608816,446.338837
2010-09-20,592.119,600.722,587.573,520.700012,13906894,452.442993
2010-09-21,599.6,603.34,589.846,517.575012,9761382,449.727661
2010-09-22,594.996,600.578,584.063,510.024994,11828094,443.167328
2010-09-23,586.969,589.242,573.13,498.825012,10528766,433.435547
2010-09-24,575.432,580.611,570.886,500.825012,10363538,435.17334
2010-09-27,580.035,586.883,578.366,505.100006,7527416,438.88797
2010-09-28,580.208,582.337,571.404,499.25,8998180,433.804779
2010-09-29,575.432,580.61,572.554,499.5,8133008,434.022034
2010-09-30,576.583,576.583,562.83,493.625,13249458,428.917145
2010-10-01,570.828,581.186,569.677,503.950012,8733722,437.888733
2010-10-04,584.034,590.278,584.034,508.924988,9675038,442.211517
2010-10-05,584.639,593.73,580.61,511.924988,10486932,444.818268
2010-10-06,592.695,602.477,590.939,522.474976,12863604,453.985321
2010-10-07,601.297,607.512,594.133,519.575012,14422574,451.465454
2010-10-08,602.304,606.965,593.011,524.825012,9538932,456.027283
2010-10-11,607.656,617.007,605.987,534.599976,11793464,464.520813
2010-10-12,614.561,615.367,601.988,527.799988,6391130,458.612244
2010-10-13,607.713,618.014,606.908,536.525024,10957046,466.193573
2010-10-14,618.589,622.329,606.62,529.5,11161584,460.089478
2010-10-15,609.957,614.561,595.917,520.174988,5304032,451.986816
2010-10-18,599.744,612.806,594.565,523.724976,10153352,455.071442
2010-10-19,612.835,614.964,598.017,522.200012,8493976,453.746368
2010-10-20,598.104,612.489,597.298,524.724976,8335440,455.940369
2010-10-21,605.354,625.983,603.743,540.825012,17040028,469.929871
2010-10-22,624.602,629.407,618.215,540.900024,8972932,469.995056
2010-10-25,626.07,634.068,624.919,545.174988,8237750,473.709625
2010-10-26,627.738,633.521,625.552,549.424988,7060562,477.402557
2010-10-27,631.824,638.729,623.336,546.375,10033230,474.752289
2010-10-28,632.629,633.493,618.359,541,16543946,470.08197
2010-10-29,625.897,637.118,621.754,548.125,13588198,476.272949
2010-11-01,645.059,647.303,626.789,546.599976,13947820,474.947845
2010-11-02,630.328,630.328,615.884,537.424988,9308216,466.975586
2010-11-03,622.617,624.286,611.482,532.650024,9115894,462.826508
2010-11-04,620.258,637.003,618.589,552.525024,11114546,480.096222
2010-11-08,640.973,643.908,633.291,555.924988,10224120,483.050476
2010-11-09,640.024,644.771,631.392,554.275024,7044960,481.616821
2010-11-10,636.83,642.7,632.514,551.099976,5439850,478.857941
2010-11-11,636.427,639.765,619.164,539.950012,5801468,469.169525
2010-11-12,621.552,625.724,608.231,530.924988,8746462,461.327606
2010-11-15,614.043,614.503,597.413,527.349976,7353490,458.221252
2010-11-16,609.382,609.382,590.709,515.25,9067122,447.707397
2010-11-18,604.088,604.088,583.488,516.474976,10412786,448.77182
2010-11-19,596.147,596.147,568.009,498.125,11349832,432.82724
