"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2014-04-15,400.574,401.955,379.882,349.850006,1660492,316.597321
2014-04-16,390.905,392.286,373.101,343.362,1109920,310.726074
2014-04-17,395.67,401.955,385.808,351.362,3028312,317.965637
2014-04-21,386.704,388.066,379.896,353.737,725324,324.73587
2014-04-22,385.615,388.964,382.891,355.112,269008,325.998199
2014-04-23,387.588,393.172,386.704,357.975006,349000,328.626526
2014-04-24,389.944,389.944,389.944,357.975006,0,328.626526
2014-04-25,386.704,392.695,384.934,357.537994,302992,328.225372
2014-04-28,385.642,392.668,385.642,357.462006,416216,328.155518
2014-04-29,385.751,394.601,385.751,358.337006,191608,328.958832
2014-04-30,388.133,392.627,379.351,354.737,251740,325.653992
2014-05-02,391.606,398.686,388.065,362.487,333292,332.768585
2014-05-05,394.888,399.79,385.615,355.424988,378024,326.285461
2014-05-06,389.699,394.547,389.427,361.062012,115524,331.460388
2014-05-07,394.288,397.502,386.432,356.237,311888,327.030975
2014-05-08,388.338,394.261,388.338,358.862,144048,329.440765
2014-05-09,393.784,396.235,389.155,361.725006,293076,332.069092
2014-05-12,393.512,395.691,385.328,359.424988,433044,329.957611
2014-05-13,392.15,394.274,386.649,359.350006,314604,329.888794
2014-05-14,388.624,397.597,388.624,363.062012,178904,333.296417
2014-05-15,393.798,397.57,389.699,360.25,271200,330.715027
2014-05-16,389.469,394.86,375.838,346.875,490188,318.436493
2014-05-19,376.682,381.121,353.344,333.862,864292,306.490356
2014-05-20,362.739,367.042,358.627,334.799988,410320,307.35141
2014-05-21,364.645,371.726,364.645,337.763,133996,310.071594
2014-05-22,367.641,381.257,367.641,345.25,346520,316.944794
2014-05-23,377.145,385.056,372.162,349.600006,630084,320.93811
2014-05-26,390.775,390.775,375.988,349.049988,465520,320.433197
2014-05-27,379.896,386.431,379.637,349.287994,101912,320.651703
2014-05-28,383.981,394.819,382.891,360.274994,680312,330.737885
2014-05-29,396.235,397.597,393.512,362.625,356832,332.895264
2014-05-30,395.418,413.664,395.418,377.437988,490244,346.493835
2014-06-02,412.098,424.49,409.129,380.674988,428952,349.465393
2014-06-03,421.562,435.124,403.043,389.375,571540,357.452118
2014-06-04,424.83,432.4,422.978,390.674988,331402,358.645569
2014-06-05,428.097,429.731,417.204,384.825012,185448,353.275238
2014-06-06,419.383,430.276,417.749,393.149994,152412,360.917633
2014-06-09,430.249,432.999,426.709,395.674988,113168,363.235596
2014-06-10,435.723,454.731,426.845,404.649994,529828,371.474823
2014-06-11,448.74,449.312,441.687,406.799988,388304,373.448517
2014-06-12,441.714,447.705,433.544,403.174988,326570,370.120789
2014-06-13,438.419,446.616,433.653,403.825012,221184,370.71756
2014-06-16,443.892,443.892,438.065,405.174988,147882,371.956787
2014-06-17,443.892,447.433,438.255,407.924988,328070,374.481384
2014-06-18,445.254,458.598,435.723,413.424988,1007696,379.530426
2014-06-19,454.241,476,454.241,432.950012,1435618,397.454651
2014-06-20,474.447,501.081,474.447,452.649994,1440166,415.539581
2014-06-23,495.09,503.832,479.513,444.225006,836748,407.805267
2014-06-24,484.878,495.634,480.929,449.524994,1141812,412.670807
2014-06-25,489.67,496.669,489.67,454.399994,398664,417.146179
2014-06-26,498.276,498.276,483.625,447.600006,181462,410.903625
2014-06-27,490.733,491.277,473.848,440.024994,170418,403.949646
2014-06-30,482.018,489.099,478.641,440.25,218414,404.156128
2014-07-01,484.741,484.741,470.58,433.825012,131074,398.257935
2014-07-02,473.903,479.295,458.87,429.950012,181888,394.700623
2014-07-03,473.848,475.482,468.402,430.924988,135458,395.595703
2014-07-04,472.759,474.393,462.955,427.125,201494,392.107208
2014-07-07,468.211,478.042,466.632,435.274994,211204,399.58902
2014-07-08,475.755,491.441,473.848,439.774994,689394,403.720184
2014-07-09,475.975,484.152,466.281,436.674988,210666,403.166168
2014-07-10,471.155,484.694,450.034,445,332374,410.852356
2014-07-11,484.667,486.86,466.416,434.350006,228512,401.019592
2014-07-14,472.779,476.57,467.364,435.549988,153198,402.127441
2014-07-15,470.126,473.835,469.015,436.024994,162994,402.566071
2014-07-16,476.57,478.709,470.153,438.950012,107394,405.266632
2014-07-17,480.903,486.562,472.779,438.875,321858,405.197388
2014-07-18,480.821,490.109,477.789,443.399994,846720,409.375122
2014-07-21,481.796,492.546,480.903,450.350006,426166,415.791779
2014-07-22,487.943,539.391,487.943,479.649994,1096346,442.843384
2014-07-23,522.278,541.015,522.278,487.674988,1347890,450.252655
2014-07-24,530.672,541.53,526.448,490,449492,452.399261
2014-07-25,533.109,560.512,532.892,512.825012,886566,473.472687
2014-07-28,549.681,575.675,549.681,526.25,1121634,485.867462
2014-07-30,573.996,585.884,555.096,520.349976,424122,480.420166
2014-07-31,565.954,581.416,562.515,524.974976,361880,484.690277
2014-08-01,569.122,574.051,564.438,524.974976,321038,484.690277
2014-08-04,571.289,576.217,539.987,509.25,550538,470.172058
2014-08-05,549.68,556.667,540.907,500.524994,226570,462.116547
2014-08-06,543.182,552.388,541.557,501.774994,153600,463.27063
2014-08-07,541.557,547.866,541.503,501.725006,156398,463.224487
2014-08-08,541.557,549.735,530.78,499.75,512104,461.401031
2014-08-11,544.806,552.821,543.128,503.575012,130348,464.932526
2014-08-12,544.536,553.986,543.344,507.100006,167664,468.186981
2014-08-13,554.013,564.303,541.557,505.924988,169414,467.102112
2014-08-14,549.139,555.096,542.099,502.475006,404308,463.916901
2014-08-18,544.996,559.97,542.126,514.650024,431084,475.157715
2014-08-19,560.484,567.525,557.804,519.575012,123186,479.704742
2014-08-20,564.303,583.961,554.013,517.875,242510,478.135162
2014-08-21,564.573,570.801,555.638,518.025024,132806,478.273682
2014-08-22,565.738,576.054,560.836,525.900024,293790,485.544434
2014-08-25,571.911,579.195,569.718,531.174988,241528,490.414551
2014-08-26,577.814,584.286,569.745,537.450012,169950,496.208069
2014-08-27,582.201,613.584,580.008,561,350654,517.950928
2014-08-28,611.31,618.729,604.486,563.325012,232904,520.097412
2014-09-01,611.96,616.048,601.156,559.474976,314760,516.542908
2014-09-02,607.275,615.75,602.211,563.049988,165610,519.843689
2014-09-03,609.848,626.582,609.848,571.200012,269964,527.368103
2014-09-04,620.029,625.499,610.064,564.924988,181520,521.574646
2014-09-05,616.833,617.998,609.793,569.275024,161464,525.591064
2014-09-08,617.375,625.011,613.368,574.025024,115544,529.97644
2014-09-09,628.883,632.593,613.367,575.974976,400350,531.776855
2014-09-10,622.791,632.539,617.727,573.200012,325778,529.214783
2014-09-11,624.93,643.072,621.897,585.349976,555910,540.432434
2014-09-12,636.33,641.204,626.04,581.174988,233468,536.577637
2014-09-15,626.067,633.27,618.512,576.674988,119180,532.423096
2014-09-16,624.47,629.425,606.544,564.924988,213378,521.574646
2014-09-17,614.451,619.785,603.078,566.674988,243418,523.190369
2014-09-18,620.976,649.869,613.313,590.625,664986,545.302612
2014-09-19,650.952,667.74,637.061,608.75,892000,562.036682
2014-09-22,657.992,665.763,650.302,602.799988,252096,556.543335
2014-09-23,651.737,674.238,651.737,608.849976,409814,562.129211
2014-09-24,664.328,665.547,632.539,599.349976,264882,553.358032
