"Date","RESTILE.BO.Open","RESTILE.BO.High","RESTILE.BO.Low","RESTILE.BO.Close","RESTILE.BO.Volume","RESTILE.BO.Adjusted"
2015-07-16,3.89,3.92,3.89,3.9,2109,3.9
2015-07-17,3.8,4.4,3.8,4.35,44,4.35
2015-07-20,4.2,4.5,3.72,4.5,910,4.5
2015-07-21,4.3,4.39,3.75,4.39,1047,4.39
2015-07-22,4.3,4.84,4.16,4.76,5693,4.76
2015-07-23,4.18,4.7,4.18,4.7,620,4.7
2015-07-24,4.17,4.7,4.17,4.7,546,4.7
2015-07-27,4.01,4.69,4,4.59,7886,4.59
2015-07-28,4.22,4.84,4.22,4.84,122,4.84
2015-07-29,4.28,4.4,4.23,4.23,4349,4.23
2015-07-30,4.5,4.5,4.5,4.5,1000,4.5
2015-07-31,4,4.67,4,4.35,1201,4.35
2015-08-03,4.5,4.59,4.05,4.21,2898,4.21
2015-08-04,4.55,5.05,4.55,5.05,13840,5.05
2015-08-05,6.05,6.06,6,6.06,17523,6.06
2015-08-06,6.66,6.66,6.3,6.66,6364,6.66
2015-08-07,7.32,7.32,6.81,7.14,21998,7.14
2015-08-10,7.14,7.36,6.43,6.62,6818,6.62
2015-08-11,6,7.25,5.97,7.22,17005,7.22
2015-08-12,7.25,7.25,6.5,6.54,10951,6.54
2015-08-13,7,7,5.9,5.91,11901,5.91
2015-08-14,5.81,5.81,5.53,5.8,1201,5.8
2015-08-17,6,6,5.22,5.22,5943,5.22
2015-08-18,5,5.01,4.96,4.99,4199,4.99
2015-08-19,4.8,4.8,4.8,4.8,3600,4.8
2015-08-20,4.59,5.04,4.59,4.65,3150,4.65
2015-08-21,4.42,4.88,4.42,4.87,612,4.87
2015-08-24,4.87,4.87,4.87,4.87,0,4.87
2015-08-25,4.87,4.87,4.87,4.87,50,4.87
2015-08-26,4.63,5.11,4.63,5.11,5,5.11
2015-08-27,5.25,5.25,4.86,5.25,610,5.25
2015-08-28,4.99,5.5,4.99,4.99,2102,4.99
2015-08-31,4.75,5,4.75,5,58,5
2015-09-01,4.75,4.75,4.75,4.75,1104,4.75
2015-09-02,4.96,4.98,4.53,4.98,2391,4.98
2015-09-03,5.22,5.22,4.74,4.97,1220,4.97
2015-09-04,4.98,4.98,4.98,4.98,1126,4.98
2015-09-07,4.97,4.97,4.49,4.96,102,4.96
2015-09-08,4.6,4.96,4.6,4.96,496,4.96
2015-09-09,4.96,4.96,4.96,4.96,0,4.96
2015-09-10,4.5,5.43,4.5,5.39,136,5.39
2015-09-11,5.39,5.39,5.39,5.39,0,5.39
2015-09-14,4.9,4.9,4.9,4.9,999,4.9
2015-09-15,4.41,5.2,4.41,4.48,2467,4.48
2015-09-16,4.86,4.92,4.3,4.89,2204,4.89
2015-09-18,4.89,5.25,4.89,5.25,10,5.25
2015-09-21,5.25,5.25,5.25,5.25,0,5.25
2015-09-22,5.25,5.25,5.25,5.25,0,5.25
2015-09-23,5.25,5.25,5.25,5.25,0,5.25
2015-09-24,5.5,6.05,4.97,5.24,23664,5.24
2015-09-28,5.24,5.76,5.24,5.76,5897,5.76
2015-09-29,6.25,6.33,6.25,6.33,10613,6.33
2015-09-30,6.96,6.96,6.51,6.96,6203,6.96
2015-10-01,7.29,7.3,6.66,7.3,14572,7.3
2015-10-05,7.3,7.66,7.3,7.58,9330,7.58
2015-10-06,7.21,7.86,7.21,7.85,12800,7.85
2015-10-07,7.79,7.79,7.79,7.79,3980,7.79
2015-10-08,7.41,7.41,7.41,7.41,3900,7.41
2015-10-09,7.1,7.1,7.04,7.04,3,7.04
2015-10-12,6.7,6.7,6.69,6.69,2,6.69
2015-10-13,6.36,6.36,6.36,6.36,500,6.36
2015-10-14,6.1,6.1,6.05,6.1,900,6.1
2015-10-15,5.8,5.81,5.8,5.81,3020,5.81
2015-10-16,5.64,6.1,5.64,6.09,2780,6.09
2015-10-19,6.37,6.37,5.79,6.35,619,6.35
2015-10-20,6.66,6.66,6.6,6.61,948,6.61
2015-10-21,6.93,6.93,6.28,6.73,7570,6.73
2015-10-23,6.73,7.06,6.73,7.06,4044,7.06
2015-10-26,7.1,7.41,6.72,6.74,7238,6.74
2015-10-27,6.42,7.05,6.42,6.87,985,6.87
2015-10-28,7.2,7.21,7,7,2102,7
2015-10-29,7.2,7.35,6.75,6.9,26306,6.9
2015-10-30,6.9,7.1,6.56,7.1,770,7.1
2015-11-02,7.1,7.1,6.8,6.8,3450,6.8
2015-11-03,6.53,6.99,6.5,6.98,5541,6.98
2015-11-04,6.64,6.97,6.64,6.66,520,6.66
2015-11-05,6.99,6.99,6.33,6.92,8829,6.92
2015-11-06,6.42,7,6.4,6.92,1851,6.92
2015-11-09,6.78,7.39,6.23,6.23,3586,6.23
2015-11-10,6.78,6.78,5.61,5.61,4869,5.61
2015-11-13,5.61,5.99,5.03,5.98,3071,5.98
2015-11-16,5.57,6.49,5.57,6.23,70,6.23
2015-11-17,6.57,6.6,6.57,6.57,11,6.57
2015-11-18,6.6,6.6,5.92,6.55,4618,6.55
2015-11-19,5.9,6.57,5.9,6.57,3055,6.57
2015-11-20,5.97,6.55,5.95,6.53,5150,6.53
2015-11-23,6.4,6.55,6.4,6.54,2800,6.54
2015-11-24,5.91,6.62,5.89,5.89,13676,5.89
2015-11-26,5.89,6,5.31,5.97,8021,5.97
2015-11-27,5.4,5.99,5.4,5.99,1845,5.99
2015-11-30,6.44,6.58,5.51,6.58,11436,6.58
2015-12-01,7.2,7.23,7,7.2,31741,7.2
2015-12-02,7.26,7.26,6.8,6.98,2661,6.98
2015-12-03,7,7.23,7,7.23,2100,7.23
2015-12-04,7.2,8.39,6.6,7.25,12712,7.25
2015-12-07,8.19,8.19,7.5,8.01,5536,8.01
2015-12-08,8.1,8.1,6.82,6.9,14192,6.9
2015-12-09,6.8,7.69,6.8,7.69,48,7.69
2015-12-10,8,8,7.45,7.77,300,7.77
2015-12-11,7.85,8.18,6.45,7.06,7628,7.06
2015-12-14,7,7.96,6.22,7.5,2185,7.5
2015-12-15,6.72,6.72,6.72,6.72,1,6.72
2015-12-16,7.91,7.91,6.7,7.59,4446,7.59
2015-12-17,6.65,7.45,6.65,7.45,264,7.45
2015-12-18,6.8,7.75,6.8,7.04,11314,7.04
2015-12-21,7.98,7.98,7.91,7.92,1002,7.92
2015-12-22,7.75,8.39,7.6,7.8,4906,7.8
2015-12-23,6.55,9.3,6.35,7.75,12712,7.75
2015-12-24,8,8.75,7.86,8.22,7450,8.22
2015-12-28,8.22,9.34,7.9,8.36,13350,8.36
2015-12-29,8.6,8.99,8.5,8.7,12473,8.7
2015-12-30,8.85,10.44,8.6,9.76,91625,9.76
2015-12-31,9.8,9.99,8.32,8.57,34649,8.57
2016-01-01,9,9.28,7.6,8.29,38760,8.29
2016-01-04,8.87,9,7.12,8.63,23866,8.63
2016-01-05,8.85,9.48,8.02,9.13,8579,9.13
2016-01-06,9.15,9.48,8.45,8.69,9035,8.69
2016-01-07,8.9,8.99,7.99,8.93,12480,8.93
2016-01-08,9.98,9.98,8.25,9.2,13452,9.2
2016-01-11,9.5,9.5,8.39,8.6,12661,8.6
2016-01-12,8.92,9.5,8.5,8.62,12495,8.62
2016-01-13,9,9,7.11,8.15,9632,8.15
2016-01-14,8.5,8.5,7.27,8.13,3365,8.13
2016-01-15,7.16,8.3,7.03,8,8965,8
2016-01-18,6.78,8,6.4,6.41,29620,6.41
2016-01-19,7.39,7.39,6.09,7.12,5631,7.12
2016-01-20,7.15,7.9,6.3,6.8,2211,6.8
2016-01-21,7.92,7.92,6.5,7.03,85,7.03
2016-01-22,7.29,7.29,6.6,6.69,2063,6.69
2016-01-25,7.9,7.9,6.71,6.99,6465,6.99
2016-01-27,6.99,7.47,6.66,7.19,960,7.19
2016-01-28,7.75,7.75,6.8,7.23,2915,7.23
2016-01-29,6.82,7.44,6.82,7.44,2101,7.44
2016-02-01,7.45,7.95,6.52,7.6,347,7.6
