"Date","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
2007-05-07,641,642.450012,632.575012,636.450012,2776664,516.477844
2007-05-08,635,640,628.625,633.275024,4095502,513.901123
2007-05-09,650,650,612.5,619.75,2349914,502.925659
2007-05-10,622.5,644.950012,613,614.849976,1522100,498.94931
2007-05-11,625,629.5,605,626.275024,1933828,508.220856
2007-05-14,639.25,639.25,623.049988,625.125,630188,507.287476
2007-05-15,630,630,612.5,619.025024,2101560,502.337463
2007-05-16,632.5,632.5,605.275024,612.099976,3261808,496.717773
2007-05-17,616.549988,626.849976,615,625,1465630,507.186157
2007-05-18,629.974976,638,625,626.424988,1460502,508.342438
2007-05-21,635,635,615,618.525024,1428422,501.93158
2007-05-22,618.75,622,610.525024,615.325012,3080112,499.334747
2007-05-23,620.75,620.75,612.549988,616.700012,635906,500.450592
2007-05-24,625,625,610.5,612.375,2276402,496.940948
2007-05-25,610.474976,617.5,604,614.974976,2622084,499.050934
2007-05-28,625,625,611.775024,612.75,1292586,497.245148
2007-05-29,612.450012,617.5,610,615.575012,1483640,499.537903
2007-05-30,625,625,605.099976,607.825012,1300028,493.248657
2007-05-31,614.5,614.5,600,604.174988,2588246,490.286652
2007-06-01,614.549988,614.549988,605.575012,609.349976,864494,494.486206
2007-06-04,614,625,601,604.049988,926692,490.185028
2007-06-05,608.900024,608.900024,600,604.025024,875800,490.164856
2007-06-06,607.5,608.5,589.099976,600.174988,1916010,487.040741
2007-06-07,600,607.200012,582.650024,603.5,1004470,489.738922
2007-06-08,603.25,615.25,595,610.049988,3009538,495.054108
2007-06-11,618.275024,619.700012,609.025024,610.674988,1324068,495.561218
2007-06-12,605,615,600,608.674988,701036,493.938507
2007-06-13,609.5,610,596.650024,601.625,884244,488.217285
2007-06-14,605,610,600.650024,602.275024,2088034,488.744843
2007-06-15,610,610,590,592.200012,2491576,483.781952
2007-06-18,596.5,597.5,580,581.299988,1437228,474.877533
2007-06-19,582.549988,582.75,571.650024,580,1747718,473.815399
2007-06-20,580.5,586.5,570.5,573.5,2012484,468.505554
2007-06-21,572.5,575.400024,565,572.799988,1521864,467.933838
2007-06-22,572.5,577.5,567.25,569.974976,1338652,465.626007
2007-06-25,569.974976,575,559.375,562.875,1401888,459.825806
2007-06-26,565.5,570,558.924988,560.875,1416372,458.191742
2007-06-27,564.950012,569.349976,562,566.575012,1478348,462.848236
2007-06-28,571.974976,571.974976,562.5,568.424988,2171396,464.35968
2007-06-29,570.5,578,570.025024,574.674988,1502228,469.465485
2007-07-02,576.5,576.5,565.5,567.224976,738576,463.379333
2007-07-03,575,575,562,563.799988,914684,460.581421
2007-07-04,564,570,558,558.825012,1207732,456.517334
2007-07-05,564.099976,564.099976,550.400024,555.825012,1589602,454.066376
2007-07-06,557.5,582.450012,550.049988,579.325012,3802842,473.264221
2007-07-09,584.200012,591.200012,582.5,588.375,2679884,480.657318
2007-07-10,592.5,600,584,591.575012,3746484,483.271515
2007-07-11,591,592.5,550,574.450012,3031062,469.281647
2007-07-12,577.5,584.5,567,581.275024,2881972,474.856995
2007-07-13,618.049988,630.75,565.125,568,2892324,464.012482
2007-07-16,567.5,569,557,564.150024,1995120,460.867249
2007-07-17,587.900024,587.900024,575,577.875,3082344,472.079559
2007-07-18,578.5,585,573.674988,583.325012,2185590,476.531952
2007-07-19,583.5,592.5,582.75,591.099976,2037756,482.883392
2007-07-20,594.5,594.974976,583.700012,587.950012,1872466,480.31015
2007-07-23,584.900024,597.5,581.049988,595.474976,2358228,486.457428
2007-07-24,594.950012,596,583.5,585.950012,1563588,478.67627
2007-07-25,584,585.5,572.5,574.099976,1335086,468.995667
2007-07-26,577.5,605,572.549988,594.549988,3001402,485.70166
2007-07-27,580,587.5,563,576.5,1601618,473.344788
2007-07-30,575,585,565.125,568.224976,917924,466.550568
2007-07-31,575.5,581,565,578.150024,1609270,474.699341
2007-08-01,572.5,572.5,555.5,557.575012,2191086,457.806061
2007-08-02,560,562.25,545,547.575012,956004,449.595428
2007-08-03,557,557,541.75,548.450012,996592,450.313751
2007-08-06,545,559,537,549.724976,1368774,451.360535
2007-08-07,556.549988,558.900024,547.049988,554.650024,1492606,455.404449
2007-08-08,575,584.5,559,576.299988,2027582,473.18042
2007-08-09,580,594.424988,567.599976,572.849976,2537218,470.34787
2007-08-10,557.5,576.75,540.200012,572.25,3145280,469.855194
2007-08-13,575,575,562.575012,567.25,602762,465.749756
2007-08-14,567.5,570,560,565.125,611398,464.004974
2007-08-16,550,559.799988,542.5,544,3331560,446.660034
2007-08-17,544,546.5,519.599976,528.075012,3450552,433.584564
2007-08-20,541.75,549.700012,525.549988,527.775024,2193422,433.338348
2007-08-21,538.25,538.25,502.25,507.625,2181682,416.793823
2007-08-22,510,516.349976,498,512.950012,1913310,421.165985
2007-08-23,516,524,502,503.950012,1556874,413.776337
2007-08-24,507.5,513.25,499.75,509.200012,963486,418.086853
2007-08-27,512.474976,519.400024,510.024994,513.25,1333428,421.412262
2007-08-28,518,519.5,505.5,514.375,1131752,422.336029
2007-08-29,510,519.900024,500.5,515.799988,1598344,423.506012
2007-08-30,521,529.5,512.5,523,3501586,429.417725
2007-08-31,526,534.849976,523.5,532.174988,1188748,436.950897
